"S/N","English ","Arabic ","Meaning "
"1 ","Aaban ","???? ","8th Persian month, angel of iron "
"2 ","Aabdar ","????? ","Bright, like glass. "
"3 ","Aabis ","??? ","Lucky. "
"4 ","Aadam ","??? ","The first prophet of Allah, and first human being sent to the earth. "
"5 ","Aadheen ","????? ","Obedient, submissive. "
"6 ","Aadhil ","??? ","Honorable Judge, One who Jugdes Fairly. "
"7 ","Aadil ","","Just, Upright. "
"8 ","Aafa ","???? ","forgiver "
"9 ","Aafiya ","????? ","Good health; Bin Ayyub had this name; he was a narrator of Hadith "
"10 ","Aahil ","??? ","Prince. "
"11 ","Aalam ","???? ","The world, the universe. "
"12 ","Aalee ","","Sublime, high. "
"13 ","Aali ","???? ","High, tall. "
"14 ","Aalim ","???? ","Scholar Plural is ulama normally used for religious scholors "
"15 ","Aamil ","???? ","Doer, Work man. "
"16 ","Aamir ","","Civilised. "
"17 ","Aamirah ","","Inhabitant "
"18 ","Aaqib ","","Follower. "
"19 ","Aaqil ","???? ","Intelligent. "
"20 ","Aarib ","??? ","Handsome, healthy. "
"21 ","Aarif ","","Knowing, aware. "
"22 ","Aariz ","???? ","Leader, ruler, leader of nation. "
"23 ","Aarzam ","???? ","War, battle, quarrel. "
"24 ","Aarzu ","???? ","Wish, hope, love. "
"25 ","Aas ","?? ","Hope. "
"26 ","Aasaal ","???? ","Evening Time, Real, Pure "
"27 ","Aashif ","","Bold, courageous. "
"28 ","Aashiq ","???? ","Adorer, lover, suitor. "
"29 ","Aashiq Ali ","???? ??? ","Adorer of Ali. "
"30 ","Aashiq Muhammad ","???? ???? ","Adorer of the Prophet Muhammad. "
"31 ","Aashir ","???? ","Living; spending a life. "
"32 ","Aasif ","","An able minister. "
"33 ","Aasim ","?? ?? ","Protector "
"34 ","Aasir ","??? ","Captivating, fascinating. "
"35 ","Aatif ","","Kind Affectionate. "
"36 ","Aatiq ","???? ","Free; liberated; independent; name: Aatiq Ali; Muhammad Aatiq "
"37 ","Aatish ","??? ","Fire. "
"38 ","Aauf ","??? ","(Awf) Guest, fragrance, lion, Name of a Sahabi. "
"39 ","Aazim ","???? ","Intending; determining, resolved on, applying the mnind to an undertaking. "
"40 ","Abaan ","???? ","Name of a great Muahaddith scholar of Hadith. "
"41 ","Abadiya ","?????? ","Ibn al Abadiyah was an author known for his eloquent literary style. "
"42 ","Abahat ","????? ","Correct, Accurate "
"43 ","Abahh ","???? ","Al-Abahh was the nickname of al Hasan Ibn Ibrahim, an astrologer of Al Mamun "
"44 ","Aban ","???? ","Old Arabic name. "
"45 ","Abasin ","?????? ","The Indus River. "
"46 ","Abbaas ","???? ","Gloony look,The uncle of the Holy prophet (peace be upon him) and well-known Sahabi(RA). "
"47 ","Abbad ","???? ","A great worshipper of Allah, several men have passed bearing this name among them Abu Abbad Jabir Ibn Zayd of the court of al Mamun "
"48 ","Abbas ","???? ","A furious lion. "
"49 ","Abbood ","???? ","Devoted worshipper of Allah. "
"50 ","Abbud ","","Worshipper "
"51 ","Abbudin ","?????? ","Worshipers. "
"52 ","Abd ","??? ","Servant, devotee, slave. "
"53 ","Abd Al-Ala ","????????? ","Slave of the High. "
"54 ","Abd Khayr ","?????? ","Khayr is all kinds of goodness and happiness. This was the name of Ibn-Yazid Al-Khaywani who fought with Sayyidina Ali RA. "
"55 ","Abdah ","???? ","Nick name of Abdur - Rehman bin Sulayman the father of Muhammad Ibn Abdur Rahman, the genealogist. "
"56 ","Abdan ","????? ","Is derived from abd; a man, ibn Abi Harb had this name and al-jahiz wrote letters to him "
"57 ","Abdud Daar ","???????? ","Servant of the Depriver "
"58 ","Abdul Aakhir ","???????? ","Servant of the Last "
"59 ","Abdul Aalee ","","Servant of the Most High. "
"60 ","Abdul Adal ","???????? ","Servant of the Just "
"61 ","Abdul Adl ","","Servant of the Just "
"62 ","Abdul Afuw ","???????? ","Servant of the Forgiver "
"63 ","Abdul Ahad ","???????? ","Servant of the only One (Allah). "
"64 ","Abdul Aleem ","????????? ","Servant of the All-knowing (Allah). "
"65 ","Abdul Ali ","???????? ","Servant of the most High. "
"66 ","Abdul Alim ","","Servant of the Omniscient "
"67 ","Abdul Aliyy ","","Servant of the Most High "
"68 ","Abdul Awwal ","???????? ","Slave of the First One. "
"69 ","Abdul Azeez ","","The servant of the most powerful. "
"70 ","Abdul Azim ","????????? ","Servant of the Mighty (Allah). "
"71 ","Abdul Aziz ","????????? ","Servant of the Almighty. "
"72 ","Abdul Baari ","????????? ","Servant of the Creator. "
"73 ","Abdul Baasit ","","Servant of the Extender and Creator. "
"74 ","Abdul Badee ","????????? ","Servant of the Inventor "
"75 ","Abdul Badi ","","Servant of the Incomparable "
"76 ","Abdul Bais ","????????? ","Slave of the one who raises from death. "
"77 ","Abdul Baith ","","Servant of the Resurrector "
"78 ","Abdul Baqi ","????????? ","Servant of the Everlasting (Allah). "
"79 ","Abdul Bari ","????????? ","Slave of the Creator "
"80 ","Abdul Barr ","??????? ","Servant of the All-benign. "
"81 ","Abdul Baseer ","????????? ","Slave of the All-seeing. "
"82 ","Abdul Basir ","","Servant of the All Seeing "
"83 ","Abdul Basit ","????????? ","Servant of the Expander (Allah). "
"84 ","Abdul Batin ","????????? ","Servant of the Inward. "
"85 ","Abdul Fattah ","????????? ","Servant of the conqueror (Allah). "
"86 ","Abdul Ghafaar ","","Servant of the Forgiver "
"87 ","Abdul Ghaffar ","????????? ","Servant of the All-forgiving (Allah). "
"88 ","Abdul Ghafoor ","","Servant of the Forgiver "
"89 ","Abdul Ghafur ","????????? ","Servant of the All-forgiving. "
"90 ","Abdul Ghani ","???????? ","Servant of the All-sufficient. "
"91 ","Abdul Haafiz ","????????? ","Servant of the Guardian (Allah). "
"92 ","Abdul Hadi ","????????? ","Servant of the Guide (Allah). "
"93 ","Abdul Hafeez ","????????? ","Servant of the Guardian (Allah). "
"94 ","Abdul Hafiz ","","Servant of the Protector "
"95 ","Abdul Hakam ","???????? ","Servant of the Arbitrator. "
"96 ","Abdul Hakeem ","????????? ","Servant of the All-wise (Allah). "
"97 ","Abdul Hakim ","????????? ","Servant of the Judge (Allah). "
"98 ","Abdul Haleem ","","Servant of the Mild and Patient "
"99 ","Abdul Halim ","????????? ","Servant of the All-element (Allah). "
"100 ","Abdul Hameed ","????????? ","Servant of the All-laudable (Allah). "
