"S/N","English ","Arabic ","Meaning "
"1 ","A'idah ","","Guest, the one who's returning. "
"2 ","A'ishah ","","Wife of the Prophet (SAW). "
"3 ","A'shadieeyah ","","Princess, cute, perfect. "
"4 ","Aa'idah ","","Name of a narrator of hadith. "
"5 ","Aabidah ","","Worshipper. "
"6 ","Aabirah ","????? ","Fleeting, transitory, ephemeral. "
"7 ","Aabish ","???? ","Daughter of Sa'ad; she was a queen of Irqan (AN). "
"8 ","Aadila ","????? ","Honest, upright, just, righteous; fem. of Adil. "
"9 ","Aaeedah ","","Visiting, Returning, Reward. "
"10 ","Aaeesha ","","Life, Vivaciousness, Living Prosperous, Youngest wife of the Prophet Muhammad (pbuh). "
"11 ","Aafreeda ","?????? ","Created, Produced. "
"12 ","Aafreen ","????? ","Stimulation, encouragement "
"13 ","Aaida ","????? ","Visiting, returning. "
"14 ","Aaila ","???? ","Beautiful, like moon. "
"15 ","Aaima ","???? ","Leader, ruler. "
"16 ","Aaina ","????? ","Mirror "
"17 ","Aaira ","???? ","Noble, respectful, respected, honourable. "
"18 ","Aakifah ","????? ","A lady who worships Allah in solitude. "
"19 ","Aala ","???? ","Benefit, favour, blessing. "
"20 ","Aaleyah ","","Exalted, Highest social standing. "
"21 ","Aalia ","","Exhalted, Noble. "
"22 ","Aalimah ","????? ","Woman scholar "
"23 ","Aaliyah ","????? ","Highest social standing, exalted. "
"24 ","Aamaal ","","Hopes, Aspirations, Wishes. "
"25 ","Aamal ","???? ","Pl. of Amal, hope, expectation, aspiration. "
"26 ","Aamanee ","","Good wish. "
"27 ","Aamilah ","????? ","Doer of (good) deeds, Righteous. "
"28 ","Aaminah ","???? ","Secured, Safe. Name of the beloved mother of the Prophet Muhammad (pbuh). "
"29 ","Aamira ","????? ","Prosperous, full of life, large, substantial; fem. of Aamir. "
"30 ","Aamirah ","????? ","A woman inhabitig in a place. "
"31 ","Aani Fatimah Khatoon ","??? ????? ????? ","She was a literary woman and a poetess in Qastantiniyah (AN) "
"32 ","Aania ","???? ","Towards, direction, concern. "
"33 ","Aanisah ","?????? ","Young lady, Maiden "
"34 ","Aaqilah ","????? ","Intelligent woman. "
"35 ","Aara ","","Adoring "
"36 ","Aarifah ","","Knowing, Women who recognises Islam. "
"37 ","Aasfa ","???? ","Protector, guardian. "
"38 ","Aasia ","","Hope. "
"39 ","Aasimah ","","Protector, defendant, central. "
"40 ","Aasira ","???? ","Bond. "
"41 ","Aasiyah ","???? ","Pharaoh's wife who embraced lslam "
"42 ","Aatifa ","","Affection, Sympathy. "
"43 ","Aatikah ","","Generous. "
"44 ","Aatiqah ","????? ","Shoulder (support) old. "
"45 ","Aatirah ","","Fragrant. "
"46 ","Abal ","??? ","Wild rose. "
"47 ","Abasah ","????? ","Daughter of al-Mahdi, a woman who was distinguished among her contemporaries. "
