"S/N","English ","Arabic ","Meaning "
"1 ","Badai ","????? ","Pl. of Badia, wonder, marvel. "
"2 ","Badia ","","Unprecedented, Admirable, Unique "
"3 ","Badiah, Badia ","","Unprecedented, amazing, admirable, unique "
"4 ","Badiha ","????? ","Insight, perceptive faculty. "
"5 ","Badiyah ","????? ","Desert; Bint Ghaylan al-Saqafi was so named; she was of Taif. "
"6 ","Badr ","??? ","Full moon of the fourteenth night. "
"7 ","Badra ","","Full moon "
"8 ","Badrai ","???? ","Name of Fairy in a famous Fairy Tale (Saiful Malook o Badri Jamala Shaperai). "
"9 ","Badriyah ","????? ","Full moon-like. "
"10 ","Badriyah, Badriyyah, Badriya ","","Resembling the full moon "
"11 ","Badrun Nisa ","???????? ","Full moon of the women. "
"12 ","Badyah ","???? ","Clear, knowledgeable person. "
"13 ","Baha ","???? ","Beauty, glory, splendour, magnificence, glow. "
"14 ","Bahar ","???? ","Spring, blossom. "
"15 ","Bahar Bano ","???????? ","Blooming princess. "
"16 ","Baheera ","????? ","Dazzling, brilliant. "
"17 ","Bahia ","","Nice "
"18 ","Bahija ","????? ","Glad, happy, joyful, delighted, delightful, cheerful; fem. of Bahij. "
"19 ","Bahijah ","","Magnificent, splendid "
"20 ","Bahira ","????? ","Brilliant, superb, magnificent, gorgeous, spectacular. "
"21 ","Bahirah, Bahira, Baheera ","","Dazzling, brilliant, noble lady "
"22 ","Bahiya ","???? ","Beautiful, brilliant, elegant, radiant, pretty, charming; fem. of Bahi. "
"23 ","Bahiyah, Bahiya, Bahiyaa ","","Beautiful, radiant "
"24 ","Bahiyyah ","","Radiant, beautiful. "
"25 ","Bahriyah al-Aabidah ","????? ??????? ","She was a devoted worshipper and ascetic of Basrah. She used to say, ""If the heart gives up the passions, it will then domesticate knowledge."" "
"26 ","Baiza ","????? ","White, bright, brilliant, innocent, pure; fem. of Abyad. "
"27 ","Bajila ","????? ","Honoured, dignified, highly regarded. "
"28 ","Bakarah ","????? ","Virginity. "
"29 ","Bakhita ","????? ","Lucky, fortunate; fem. of Bakhit. "
"30 ","Bakht ","??? ","Lot, Fate, Portion. "
"31 ","Bakhtawar ","?????? ","Fortunate, Lucky. "
"32 ","Bakhtawara ","?????? ","Lucky "
"33 ","Bakura ","????? ","Coming early. "
