"S/N","English ","Arabic ","Meaning "
"1 ","Haajar ","","Hard as a rock. "
"2 ","Hababah ","????? ","A daughter of Ajlan; She was narrator of Hadith. "
"3 ","Habiba ","????? ","Beloved, darling, sweetheart; fem. of Habib. "
"4 ","Habibah ","","Beloved, sweetheart, darling. "
"5 ","Habibah, Habeeba ","","Beloved, sweetheart, darling; a wife of the Prophet "
"6 ","Hablah ","????? ","A woman who earns a lot. "
"7 ","Haboos ","???? ","This was the name of noble lady who was kind and benevolent; she lived in Lebanon. "
"8 ","Hadaya ","????? ","Pl. of Hadiya, gift, present. "
"9 ","Hadeel ","???? ","Cooing of a pigeon. "
"10 ","Hadeeqa ","","Gorgeus. "
"11 ","Hadeeqah ","","Garden. "
"12 ","Hadil ","","Is the voice of a dove. "
"13 ","Hadiqah ","????? ","Garden. "
"14 ","Hadiya ","????? ","Guide to righteousness; fem. of Hadi leader. "
"15 ","Hadiyah ","","Guide to righteousness. "
"16 ","Hadiyah, Haadiya ","","Guide to righteousness, calm "
"17 ","Hadiyyah ","","Gift "
"18 ","Hadya ","???? ","Gift, present; sing. of Hadaya. "
"19 ","Haeda ","????? ","A woman who repents a lot. "
"20 ","Haemah ","????? ","Crazy in love. "
"21 ","Hafa ","","Gentle rain "
"22 ","Hafeeza ","????? ","Guardian, protector; fem. of Hafeez. "
"23 ","Haffafa ","????? ","Glittering, shining, thin, peaceful, gentle wind. "
"24 ","Hafiza ","????? ","Honorific title of a woman who has memorised the Quran, guardian, protector; fem. Hafiz. "
"25 ","Hafizah ","","Heedful, mindful "
"26 ","Hafsa ","???? ","Cub; wife of Muhammad (pbuh); daughter of Khalifa Umar. "
"27 ","Hafsah ","","A wife of the Prophet (S.A.W). "
"28 ","Hafsah, Hafsa ","","Wife of the Prophet "
"29 ","Hafthah ","????? ","Preserved, protected. "
"30 ","Haida ","?????? ","???? ???? ??? "
"31 ","Haifa ","????? ","Slender, slim, of beautiful body. "
"32 ","Haifa, Hayfa ","","Slender, of beautiful body "
"33 ","Haiqa ","????? ","True, truly, obedient of God, prayer of God "
"34 ","Hajar ","???? ","The wife of Prophet Ibrahim AS was name Hajar AS. "
"35 ","Hajira ","????? ","Wife of Prophet Ibrahim and mother of Prophet Ismail. "
"36 ","Hajjah ","??? ","She was a narrator of Hadith, daughter of Murrah; another narrator by the same name was the daughter of Murayt (AN). "
"37 ","Hajna ","????? ","The daughter of Nusayb, she was a poetess. (AN) "
"38 ","Hajrah ","","The wife of Prophet Ibrahim (A.S). "
"39 ","Hakeema ","????? ","Wise, sage, judicious, prudent; fem. of Hakeem. A Sahabia i.e. a Muslim woman who lived in time of the Prophet Muhammad. "
"40 ","Hakima ","????? ","Ruler, queen. "
"41 ","Hakimah ","","Wise, judicious. "
"42 ","Hala ","???? ","Halo, ring around the eye, aureole, name of the sister of Khadija, the first wife of the Prophet Muhammad. "
"43 ","Halah ","","Aureole. "
"44 ","Halah, Haala ","","Aureole "
"45 ","Haleema ","????? ","Clement, patient, tolerant, gentle; fem. of Halim. Halima Al-Sadiyah: foster mother of the Prophet Muhammad. "
"46 ","Halia ","????? ","Aware, knowing. "
"47 ","Halima ","????? ","Dreamer, visionary. "
"48 ","Halimah ","","Gentle, patient, mild-tempered. "
"49 ","Halimah, Haleema ","","Gentle, patient, mild tempered; name of the Prophets nursing mother "
"50 ","Hamama ","????? ","Dove, pigeon. "
"51 ","Hamamah ","","This was the name of a female slave who suffered much punishment for the sake of Allah but Sayyidina Abu Bakr (R.A) bought her and emancipated her. "
"52 ","Hamas ","??? ","Low and soft sound, heartbeat. "
"53 ","Hamda ","???? ","Praised, laudation of Allah; fem. of Hamd. "
