"S/N","English ","Arabic ","Meaning "
"1 ","Kabeesha ","????? ","This was the name of a poetess, daughter of al-Waqa (AN). "
"2 ","Kabira ","????? ","Great. "
"3 ","Kabirah ","","Elder, Big. "
"4 ","Kabshah ","???? ","She was a companion; she was the daughter of Sabit bin al-Munzir al-Ansari (AN) "
"5 ","Kadshah ","","She was a companion. "
"6 ","Kaheela ","????? ","Labour, triumph, trial. "
"7 ","Kaheesha ","","This was the name of a poetess, daughter of al-Waqa. "
"8 ","Kaif ","??? ","A state of joy. "
"9 ","Kaifiya ","????? ","Ecstatic, mirghful, gayhooppy. "
"10 ","Kaina ","????? ","Leader woman. "
"11 ","Kainaat ","?? ???? ","Universe "
"12 ","Kakuli ","????? ","Crest, tuft on the head of an animal like comb of a cock. "
"13 ","Kaleemah ","????? ","Speaker. "
"14 ","Kalila ","","Sweetheart, beloved "
"15 ","Kalsam ","???? ","Name of al-Qarshiyah who transmitted Hadith from Sayyidah Ayshah (AN) "
"16 ","Kalsoom ","????? ","Name of prophet Muhammad PBUH daughter. "
"17 ","Kaltham ","","Name of al-Qarshiyah who transmitted Hadith from Sayyidah Ayshah. "
"18 ","Kamaliyah ","?????? ","Perfection: name of a traditionalist, daughter of Muhammad bin Muhammad al-Hashmiyah al-Makkiyah RA. "
"19 ","Kamila ","????? ","Perfect, complete, genuine; fem. of Kamil. "
"20 ","Kamilah ","","Perfect, complete "
"21 ","Kamna ","????? ","Hankering, Avidity. "
"22 ","Kaneez ","","Slave. "
"23 ","Kaneezah ","????? ","Firm (of flish), sturdy (of body). "
"24 ","Kaniz ","???? ","Maid servant, female servant, virgin. "
"25 ","Kanval ","","Flower. "
"26 ","Kanwal ","???? ","A flower of water, water-lilly. "
"27 ","Kanz ","??? ","Treasure. "
"28 ","Kanza ","","Hidden Treasure "
"29 ","Kanzah ","???? ","Treasure; She was a poetess (AN) "
"30 ","Karam ","??? ","Generosity, bounty, noble nature. "
"31 ","Karamat ","????? ","Miracle. "
"32 ","Karawan ","????? ","Variety of plover birds. "
"33 ","Kardawaiyah ","?????? ","A ious woman, daughter of Amr al-Basriyah was so name (AN) "
"34 ","Kardawiyah ","","A pious woman, daughter of Amr al-Basriyah was so named. "
"35 ","Karida ","","Untouched "
"36 ","Karima ","????? ","Kind, generous, benevolent, open-handed, bountiful, noble; fem. of Karim. "
"37 ","Karimah ","","Generous, noble. "
"38 ","Karimah, Kareema ","","Generous, noble "
