"S/N","English ","Arabic ","Meaning "
"1 ","Ma as-sama ","????????? ","A noble hearted, generous lady, daughter of al-Muzaffar had this name. "
"2 ","Ma'isah ","","Walking with a proud, swinging gait. "
"3 ","Maab ","???? ","Place to which one returns. "
"4 ","Maahnoor ","","Glow of Moon. "
"5 ","Maali ","????? ","Noble things. "
"6 ","Mabrooka ","?????? ","Blessed, prosperous, abundant; fem. of Mabrook. "
"7 ","Mada ","??? ","Utmost point, degree. "
"8 ","Madaniya ","????? ","Civilized, urbane, polished. "
"9 ","Madaniyah ","","Civilised, cultured. "
"10 ","Madeeha ","","Praiseworty. "
"11 ","Madhat ","","Praise. "
"12 ","Madiha ","????? ","Praiseworthy, commendation, commendable. "
"13 ","Madihah ","","Praiseworthy. "
"14 ","Madihah, Madeeha ","","Praiseworthy, commendable "
"15 ","Mah ","??? ","Moon. "
"16 ","Mah Jabin ","??? ???? ","Beautiful, brow like the moon. "
"17 ","Mah Liqa ","??? ??? ","Moon-like (face). "
"18 ","Mah Naz ","??? ??? ","Humble moon (that would disappear on touch). "
"19 ","Mah Noor ","??? ??? ","Moonlight. "
"20 ","Mah Rukh ","??? ?? ","Face as bright as the moon. "
"21 ","Maha ","??? ","Wild cow (representing beauty). "
"22 ","Mahabbah ","???? ","Love, affection. "
"23 ","Mahala ","????? ","Brave. "
"24 ","Mahalfa ","?????? ","Opponent. "
"25 ","Maham ","???? ","Wife of mughal emperor Zahiruddin Baber, mother of Hamayun. "
"26 ","Mahasin ","????? ","Pl. of Mahsana, beauty, charm, charming, attraction, virtue, merit. "
"27 ","Mahbasah ","????? ","A narrator of Hadith, al-Bahiliyah had this name. "
"28 ","Mahbooba ","?????? ","Dear, beloved sweetheart; fem. of Mahboob. "
"29 ","Mahbubah ","","Beloved "
"30 ","Mahdiya ","????? ","Rightly guided; fem. of Mahdi. "
"31 ","Mahdiyah ","","Rightly guided "
"32 ","Maheen ","????? ","Like moon. "
"33 ","mahek ","??? ","Fragrance "
"34 ","Mahfooza ","?????? ","Safeguarded, well-protected; fem. of mahfooz. "
"35 ","Mahfuzah ","","The protected one. "
"36 ","Mahibah ","???? ","Noble, Respected. "
"37 ","Mahin ","???? ","Fine, subtle, thin. "
"38 ","Mahira ","????? ","Skilled, skilful, proficient; fem. of Mahir. "
"39 ","Mahirah ","","Adept, Expert. "
"40 ","Mahjabeen ","","Powerful. "
"41 ","Mahjooba ","?????? ","Hidden, covered, screened; fem. of Mahjoob. "
"42 ","Mahmooda ","?????? ","Praised, praiseworthy, elegant, lauded. "
"43 ","Mahmoodatun Nisa ","??????????? ","Praised (one) of the women. "
"44 ","Mahnaz ","????? ","Pride of the moon. "
"45 ","Mahneerah ","","First born of a pair. "
"46 ","Mahnoor ","","Light of the moon. "
"47 ","Mahparah ","?? ???? ","Piece of moon "
"48 ","Mahreen ","","Bright and Beautiful as the sun. "
"49 ","Mahrosh ","????? ","Piece of moon, pleasant. "
"50 ","Mahroz ","????? ","One who has a face like moon. "
"51 ","Mahtab ","?????? ","Moonlight. "
"52 ","Mahtalat ","?? ???? ","Moon-faced "
"53 ","Mahum ","","Moon's Light. "
"54 ","Mahveen ","????? ","Light of the Sun. "
"55 ","Mahvish ","","Moon-face. "
"56 ","Mahwish ","???? ","Moon-faced, beautiful as moon. "
"57 ","Mahzala ","??? ???? ","Brightness of Moon. "
"58 ","Maida ","????? ","Dining table, a chapter of Quran "
"59 ","Mailiha ","????? ","Beautiful, the one with darker shade. "
"60 ","Maimana ","????? ","Right, right-hand side, right wing (of army). "
"61 ","Maimoona ","?????? ","Auspicious, prosperous, lucky, fortunate, blessed; fem. of Maimoon. "
"62 ","Maimoona, Maymunah ","","Auspicious, blessed; a wife of the Prophet "
"63 ","Maira ","????? ","Favourable, admirable. "
"64 ","Maisa ","????? ","Walking with a proud gait. "
"65 ","Maisaa ","????? ","To walk with a proud swinging gait. "
"66 ","Maisah, Maisa ","","Walking with a proud, swinging gait "
"67 ","Maisara ","????? ","Prosperity, abundance, wealth, affluence; left, left-hand side, left wing (of army). "
"68 ","Maisarah ","","Wealth, Richness. "
"69 ","Maisoon ","????? ","Of beautiful face and body. "
"70 ","Maisoora ","?????? ","Ease; successful, fortunate, lucky, prosperous; fem. of maisoor. "
"71 ","Maizah ","","Discerning "
"72 ","Majda ","???? ","Glory, honour, nobility. "
"73 ","Majdiya ","????? ","Glorious. "
"74 ","Majeeda ","????? ","Glorious, noble, sublime, exalted; fem. of majeed. "
"75 ","Majha ","???? ","Name of a sahabi who participated in the battle of badr. "
"76 ","Majida ","????? ","Glorious, noble, respected, exalted, fem. of majid. "
"77 ","Majidah ","","Glorious, noble, respected. "
"78 ","Majidah, Majida ","","Glorious "
"79 ","Makarim ","????? ","Of good and honourable character. "
"80 ","Makarim, Makaarim ","","Of good and honorable character "
"81 ","Makhtooma ","","Name of a female singer of the past. "
"82 ","Makhtoonah ","","Name of a singer and a beautiful lady of the past. "
"83 ","Makkiyah ","???? ","From Makkah. "
"84 ","Maktoomah ","?????? ","Name of a female singer of the past. "
"85 ","Maktoonah ","?????? ","Name of a singer and a beautiful lady of the past. "
"86 ","Maladh ","???? ","Protection, shelter. "
"87 ","Malaha ","????? ","Beauty, grace, elegance. "
"88 ","Malaika ","?????? ","Angels. "
"89 ","Malak ","??? ","Angel. "
"90 ","Malakah ","","Talent "
"91 ","Malalai ","????? ","Sad, Melancholic, Heroine of Famous Maiwand Battle against British. "
"92 ","Malayeka ","","Angel. "
"93 ","Maleehah ","","Salty, Graceful, Brownish colour. "
"94 ","Maleeka ","????? ","Queen; fem. of Maleek. "
"95 ","Maliha ","????? ","Beautiful, pretty, good-looking; fem. of Malih. "
"96 ","Malika ","????? ","Reigning, ruling. "
"97 ","Malikah ","","Queen "
"98 ","Malka ","???? ","Fem. of Malik; queen. "
"99 ","Malmal ","","Soft. "
"100 ","Mamoona ","??????? ","Trustworthy, honest, faithful, reliable; fem of Mamoon. "
"101 ","Manab ","???? ","Deputyship, share. "
"102 ","Manahil ","????? ","Pl. of manhal, spring, of salubrious water, fountain. "
"103 ","Manal ","???? ","Attainment, achievement, acquisition. "
"104 ","Manal, Manaal ","","Attainment, achievement "
"105 ","Manar ","???? ","Guiding light, light-house. "
"106 ","Manar, Manaar ","","Guiding light "
"107 ","Manara ","????? ","Fem. of Manar: light-house. "
"108 ","Mandal ","???? ","Fragrant wood. "
"109 ","Manfoosah ","?????? ","She was the daughter of Abu Yazid bin Abu al-FAwaris; a very pious woman, she wept often for fear of Allah. "
"110 ","Manha ","????? ","Gift of Allah. "
"111 ","Manhalah ","????? ","Spring; Name of many Arab women. "
"112 ","Mann ","?? ","Gift, present, favour, benefit, boon. "
"113 ","Mannana ","????? ","Bountiful, generous; fem. of mannan. "
"114 ","Mansoora ","?????? ","Assisted, victorious, supported, triumphant; fem. of Mansoor. "
"115 ","Mansurah ","","Supporter, victorious. "
"116 ","Manzoora ","?????? ","Approved of, chosen, promising; fem. of Manzoor. "
"117 ","Maqboola ","?????? ","Accepted, admitted, granted, approved; fem. of Maqbool. "
"118 ","Maqboolah ","","A noted woman of the past had this name; Maqboolah Hanim. "
"119 ","Maqsooda ","?????? ","Intended, destined. "
"120 ","Marab ","????? ","Wish, desire, purpose, use, aim; sing. of Marib. "
"121 ","Marah ","","Happiness, joy. "
"122 ","Maram ","???? ","Wish, desire, aspiration. "
"123 ","Maram, Maraam ","","Aspiration "
"124 ","Mardhiah ","","One who is loved and respected by all. "
"125 ","Marghuba ","?????? ","Coveted, desired. "
"126 ","Maria ","????? ","A lady with fair complexion, kind of bird. Wife of Muhammad who gave birth to son named Ibrahim. "
"127 ","Mariam ","???? ","Mother of the Prophet Isa (Jesus), the Biblical Mary. "
"128 ","Mariam, Maryam ","","Arabic form of ""Mary""; Mother of Jesus "
"129 ","Marib ","???? ","Pl. of Marab, wish. "
"130 ","Maridah ","????? ","A slave-girl of Haroon Rashid had this name. "
"131 ","Mariha ","???? ","Joyful, cheerful, lively. "
"132 ","Mariya ","????? ","A learned woman of Andulus had this name; she was the daughter of Abu Yaqoob al-Faysali. "
"133 ","Mariyah ","","Fair complexion; name of the wife of the Prophet "
"134 ","Marjan ","????? ","Small pearls, corals. "
"135 ","Marjanah ","?????? ","Precious stone; She was the mother of Prophet Isa AS and has been mentioned in the Quran frequently and a whole Surah is named after her. "
"136 ","Marmar ","???? ","Marble. "
"137 ","Marnia ","","Wealthy in every aspect "
"138 ","Maroofa ","?????? ","Famous, known, eminent, kindness, kind act; fem. of Maruf. "
"139 ","Marqooma ","?????? ","Writter, stated, well-defined. "
"140 ","Marwa ","???? ","Flint-stone. "
"141 ","Marwah ","","a mountain in Makkah (Al Safa wa al Marwah) "
"142 ","Maryam ","???? ","Pious, mother of Hazrat Isa (AS) i.e. Jesus. "
"143 ","Maryum ","","Mother of Isa (A.S). "
"144 ","Marziya ","????? ","Accepted, well-pleased, one who is pleasing. "
"145 ","Marzooqa ","?????? ","blessed, fortunate, prosperous, successful; fem. of Marzooq "
"146 ","Marzuqah ","?????? ","Blessed by God, fortunate. "
"147 ","Mas ","??? ","For Almas; diamond. (only almas is used as name). "
"148 ","Masabeeh ","","Lamps, Lights. "
"149 ","Masabih ","?????? ","Pl. of Misbah, lamp. "
"150 ","Masahir ","","Ancient Arabic lute "
"151 ","Masarrah ","???? ","Delight, joy. "
"152 ","Masarrat ","???? ","Joy, delight, pleasure, gladness, happiness. "
"153 ","Mashal ","???? ","Light, bright fire, flame. "
"154 ","Mashel ","","Light "
"155 ","Mashhuda ","?????? ","Present, manifest. "
"156 ","Mashia ","????? ","wish, desire, will (of Allah) "
"157 ","Mashmool ","????? ","Included, sought, after, searched for. "
"158 ","Mashoodah ","","Evidenced. "
"159 ","Masira ","????? ","Noble. "
"160 ","Masooda ","?????? ","Fortunate, happy, lucky, prosperous, gracious, favourable, august; fem. of Masood. "
"161 ","Masooma ","?????? ","Innocent, sinless, safe-guarded, protected; fem. of Masoom. "
"162 ","Masoomah ","","Innocent. "
"163 ","Masoon ","???? ","Safeguarded, well-protected. "
"164 ","Masrurah ","?????? ","Glad, happy, delighted. "
"165 ","Mastura ","?????? ","Latent, hidden, chaste. "
"166 ","Masudah, Masouda ","","Happy, lucky, fortunate "
"167 ","Masumah ","","Innocent. "
"168 ","Mateenah ","","Firm, Solid, determined. "
"169 ","Matina ","????? ","Strong, solid, of resolute mind. "
"170 ","Mausooma ","?????? ","Namely, viz. "
"171 ","Mavisha ","??????? ","Blessing of life. "
"172 ","Mawadda ","???? ","Friendship, intimacy, affection, love. "
"173 ","Mawaddah ","","Affection, love, friendliness "
"174 ","Mawahib ","","Talents "
"175 ","Mawar ","???? ","Rose. "
"176 ","Mawara ","????? ","Superior. "
"177 ","Mawhiba ","????? ","Gift, talent; sing. of Mawahib. "
"178 ","Mawhooba ","?????? ","Gifted, talented, favoured; fem. of Mawhoob. "
"179 ","Mawiyah ","????? ","The essence of life; clear mirror. "
"180 ","Mawiyah, Mawiya ","","The essence of life; clear mirror "
"181 ","Mawsoofa ","?????? ","Worthy of description, portrayed, endowed with laudable qualities; fem. of Mawsoof. "
"182 ","May ","","Old Arabic name "
"183 ","Maya ","???? ","Nature, wealth, power, quantity. "
"184 ","Mayameen ","","The blessed, the brave. "
"185 ","Mayeda ","","The fruits of heaven, the cloth on which you eat in Heaven, The suraah Mayeda in the Quran. "
"186 ","Maymunah ","?????? ","Fortunate, blessed; name of the wife of the Prophet. "
"187 ","Mays, Mais ","","Proud gait "
"188 ","Maysa ","????? ","Walking with pride. "
"189 ","Maysa, Maysaa ","","Walking with pride "
"190 ","Maysam ","???? ","Beautiful. "
"191 ","Maysan ","","a star "
"192 ","Maysarah ","????? ","Left-hand side. "
"193 ","Maysoon ","","Beautiful face & body. "
"194 ","Maysun ","????? ","To walk with a proud, swinging gait. "
"195 ","Maysun, Maysoon ","","To walk with a proud, swinging gait "
"196 ","Mayyada ","????? ","To walk with swinging gait. "
"197 ","Mayyadah ","","To walk with a swinging gait. "
"198 ","Mayyadah, Mayyada ","","To walk with a swinging gait "
"199 ","Mayyasah ","????? ","To walk with a proud gait. "
"200 ","Mazida ","????? ","Increase, excess, high degree, maximum; fem. of Mazid. "
"201 ","Maziyah ","???? ","Excellence, merit, virtue. "
"202 ","Medina ","","Holy city of Saudi Arabia "
"203 ","Mehak ","??? ","Fragrance "
"204 ","Mehek ","","Smell, fragrance. "
"205 ","Meher ","","Benevolence. "
"206 ","Mehjabeen ","","Beautiful as the moon, beloved person. "
"207 ","Mehnaz ","","Prouded like a moon. "
"208 ","Mehndi ","","Beautiful colour. "
"209 ","Mehr ","??? ","Sun, affection. "
"210 ","Mehr Angiz ","???????? ","To cause affection. "
"211 ","Mehreen ","????? ","Loving nature. "
"212 ","Mehriban ","","Kind, Gentle. "
