"S/N","English ","Arabic ","Meaning "
"1 ","Na'eemah ","","Joyful. "
"2 ","Na'ilah ","","Acquirer, obtainer, winner. "
"3 ","Na'imah ","","Comfort, tranquillity. "
"4 ","Naa'irah ","","Bright, Shining. "
"5 ","Naaji ","???? ","Saver. "
"6 ","Naaz ","??? ","Glory, pride, elegance, gracefulness, fresh. "
"7 ","Naazira ","????? ","One with healthy and happy looks, radiant, flourishing, resplendent, bright, beaming. "
"8 ","Naazneen ","","Beautiful. "
"9 ","Naba ","???? ","Famous, good, pious. "
"10 ","Nabaha ","????? ","Fame, nobility, intelligence, brightness, brilliance. "
"11 ","Nabawiya ","????? ","Prophetic. "
"12 ","Nabeeha ","????? ","Noble, famous, eminent, distinguished, brilliant, intelligent; fem. of Nabih. "
"13 ","Nabeelah ","","Noble. "
"14 ","Nabiha ","????? ","Noble, famous, eminent, distinguished, brilliant; fem. of Nabih. "
"15 ","Nabihah ","","Intelligent, noble, eminent. "
"16 ","Nabihah, Nabeeha ","","Intelligent "
"17 ","Nabijah ","","Ambitious, Leader and Brave. "
"18 ","Nabila ","????? ","Noble, highborn, magnanimous, beautiful, intelligent, honourable; fem. of nabil. "
"19 ","Nabilah ","","Noble, magnanimous. "
"20 ","Nabilah, Nabeela ","","Noble "
"21 ","Nada ","","Generousity, dew "
"22 ","Nadaa ","??? ","Dew, generosity, liberality, magnanimity. "
"23 ","Nadia ","????? ","The caller. "
"24 ","Nadida ","????? ","Rival, equal. "
"25 ","Nadidah, Nadeeda ","","Equal, rival "
"26 ","Nadima ","????? ","Intimate friend, companion; fem. of Nadim. "
"27 ","Nadimah ","","Friend. "
"28 ","Nadira ","????? ","Rare, extraordinary, choice, precious; fem. of Nadir. "
"29 ","Nadirah ","","Rare, precious. "
"30 ","Nadirah, Nadira ","","Rare, precious "
"31 ","Nadiyah ","","Announcement "
"32 ","Nadiyya ","???? ","Fem. of Nadi, dew, generosity, damp, tender, delicate. "
"33 ","Nadra ","????? ","Radiance, bloom, glamour, brightness, opulence, wealth. "
"34 ","Nadwa ","???? ","Council, club. "
"35 ","Nadwah, Nadwa ","","Council, generosity "
"36 ","Nadyne ","","Flower "
"37 ","Naeema ","????? ","Happiness, peaceful, comfort, ease, pleasure, smooth, tender, bliss; fem. of Naim. "
"38 ","Nafasat ","????? ","Purity, refinement. "
"39 ","Nafay ","????? ","One who gets profit. "
"40 ","Nafeesa ","","Precious. "
"41 ","Nafia ","????? ","Profitable, beneficial, advantageous, useful, beneficial; fem. of Nafi. "
"42 ","Nafiah ","","Profitable. "
"43 ","Nafisa ","????? ","Refined, pure, precious, delicate, choice, exquisite. "
"44 ","Nafisah ","","Precious gem. "
"45 ","Nafisah, Nafeesa ","","Precious thing, gem "
"46 ","Naflah ","???? ","Surplus, overabundance. "
"47 ","Nageenah ","????? ","Precious Stone. "
"48 ","Nagheen ","","Pearl. "
"49 ","Naghma ","???? ","Melody, song. "
"50 ","Nagina ","","Diamond. "
"51 ","Nahal ","","Small Plant. "
"52 ","Nahar ","???? ","Day i.e. daytime. "
"53 ","Naheed ","","Honorable. "
"54 ","Nahid ","????? ","Venus. "
"55 ","Nahida ","?????? ","Fem. of Nahid. "
"56 ","Nahidah, Naheeda ","","Big "
"57 ","Nahiya ","????? ","One who advises, adviser. "
"58 ","Nahiza ","????? ","Elevated, deligent. "
"59 ","Nahla ","???? ","Bee. "
"60 ","Nahlah, Nahla ","","A drink of water "
"61 ","Nahleejah ","","Down to earth, cool. "
"62 ","Naida ","","A Nymph "
"63 ","Naifah ","????? ","This was the name of a well-known, woman loved by the masses for her kindness and generosity, her advice was sought by the people. "
"64 ","Nail ","???? ","Winner, achiever, a boon, gift, acquirer. "
"65 ","Naila ","????? ","Fem. of nail. "
"66 ","Nailah ","","One who succeeds. "
"67 ","Nailah, Naila ","","Acquirer, obtainer, one who succeeds "
"68 ","Naima ","????? ","Delicate, soft, smooth. "
"69 ","Naimah, Naima ","","Comfort, amenity, tranquility, peace; living a soft, enjoyable life "
"70 ","Nain ","","Eye. "
"71 ","Naina ","","Eyes. "
"72 ","Naira ","????? ","Shining, glittering. "
"73 ","Najaf ","","City in iraq "
"74 ","Najah ","???? ","Success. "
"75 ","Najah, Najaah ","","Success "
"76 ","Najat ","???? ","Safety, rescue, salvation, deliverance. "
"77 ","Najdah ","???? ","Courage, bravery, help, succour. "
"78 ","Najia ","????? ","Saved, liberated; fem. of Naji. "
"79 ","Najiba ","????? ","Noble, exce4llent, generous, praiseworthy, distinguished, aristocratic. "
"80 ","Najibah ","","Of noble birth, distinguished. "
"81 ","Najibah, Najeeba ","","Distinguished; of noble birth "
"82 ","Najida ","????? ","Brave; a lady who accomplishes difficult tasks. "
"83 ","Najidah ","????? ","Succor, Help. "
"84 ","Najiha ","????? ","Successful, prosperous; fem. of Najih. "
"85 ","Najihah ","","Victory. "
"86 ","Najiya ","???? ","Intimate friend, bosom friend; fem. of Naji. "
"87 ","Najiyah ","","Safe "
"88 ","Najla ","????? ","Large-eyed, wide-eyed. "
"89 ","Najm ","??? ","Star, planet. "
