"S/N","English ","Arabic ","Meaning "
"1 ","Raaida ","????? ","Leader. "
"2 ","Raaina ","????? ","Beautiful princess, pretty priness. "
"3 ","Raameen ","","Obedient. "
"4 ","Raana ","????? ","Of elegant, statue, soft, lovely, beautiful, graceful, delicate. "
"5 ","Raani ","???? ","A queen. "
"6 ","Rabab ","???? ","Usually two-stringed instrument. "
"7 ","Rabeea ","????? ","One who is well-versed. "
"8 ","Rabia ","????? ","The fourth. ""Rabia Basri"", name of a saint who lived in Basrah. "
"9 ","Rabiah, Rabeea ","","Garden, springtime "
"10 ","Rabiha ","????? ","Winner, gainer; fem. Rabih. "
"11 ","Rabita ","????? ","Band, bond, link nexus. "
"12 ","Rabitah ","","Bond, tie. "
"13 ","Rabiya ","????? ","Spring, springtime, garden; fem. of Rabi. "
"14 ","Rabiyah ","","Hill "
"15 ","Rabwa ","???? ","Hill. "
"16 ","Radeyah ","","Content, satisfied. "
"17 ","Radifa ","????? ","One who is full of shame. "
"18 ","Radiya ","????? ","Veiled, covered. "
"19 ","Radiyah, Radhiya ","","Content, satisfied "
"20 ","Radwa, Radhwaa ","","a mountain in Medina "
"21 ","Raeesa ","????? ","Leader, chief, princess, a noble lady, a wealthy lady. "
"22 ","Raeesah ","","Princess; Noble lady. "
"23 ","Raeha ","????? ","Fragrance, perfume, scent. "
"24 ","Rafa ","???? ","Happiness, prosperity. "
"25 ","Rafa, Rafa ","","Happiness, prosperity "
"26 ","Rafah ","","Pleasant, luxurious life "
"27 ","Rafah, Rafat ","","Mercy "
"28 ","Rafal ","???? ","To trail a garment. "
"29 ","Rafat ","???? ","Mercy, compassion, pity. "
"30 ","Rafeeah ","????? ","Sublime, high. "
"31 ","Rafeeqah ","","Friend; Soft-hearted. "
"32 ","Rafia ","","High, Sublime. "
"33 ","Rafiah ","????? ","Exalted. "
"34 ","Rafida ","????? ","Support, prop. "
"35 ","Rafidah ","","Support "
"36 ","Rafif ","???? ","Glittering, shining, gleaming. "
"37 ","Rafiqa ","????? ","Intimate friend, companion, associate; fem. of Rafiq. "
"38 ","Rafiqah ","","Friend, companion. "
"39 ","Rafraf ","???? ","Cushion, eyeshade. "
"40 ","Raghad ","","Pleasant. "
"41 ","Raghad or Raghda ","","Pleasant "
"42 ","Raghada ","????? ","Comfort opulence, affluence. "
"43 ","Raghd ","??? ","Pleasant, plenty. "
