"S/N","English ","Arabic ","Meaning "
"1 ","Saadat ","????? ","Blessing. "
"2 ","Saadia ","","Lucky. "
"3 ","Saadiya ","","Flower. "
"4 ","Saaida ","????? ","Branch, tributary. "
"5 ","Saaiqa ","????? ","Lightning. "
"6 ","Saaleha ","","Flower. "
"7 ","Saaliha ","","Pure pios and devoted. "
"8 ","Saara ","???? ","Wife of the Prophet Ibrahim and mother of the Prophet Ismail. "
"9 ","Saat ","???? ","Moment, time, occasion. "
"10 ","Saba ","??? ","Queen saba, queen sheba. "
"11 ","Sabaa ","","a nice wind "
"12 ","Sabah ","???? ","Morning, dawn. "
"13 ","Sabahat ","????? ","Beauty, gracefulness, handsomeness. "
"14 ","Sabat ","???? ","Firmness, stability, certainty, endurance, boldness, truth. "
"15 ","Sabburah ","","Very patient, enduring. "
"16 ","Sabeeha ","????? ","Beautiful, handsome, morning. "
"17 ","Sabeen ","???? ","Both the worlds. "
"18 ","Sabeera ","????? ","Patient, tolerant; fem. of Sabeer. "
"19 ","Sabeeyah ","","Baby girl. "
"20 ","Sabha ","????? ","Pretty, beautiful, graceful, radiant; fem. of Sabah. "
"21 ","Sabia ","????? ","Captivating, enchanting, charming. "
"22 ","Sabih ","???? ","Pretty, beautiful, graceful. "
"23 ","Sabiha ","????? ","Coming or arriving in the morning; fem. of Sabih. "
"24 ","Sabihah ","","Beautiful "
"25 ","Sabina ","????? ","Small sword. "
"26 ","Sabiqa ","????? ","First, winner; fem. of Sabiq. "
"27 ","Sabiqah ","","Past. "
"28 ","Sabira ","????? ","Patient, tolerant; fem. of Sabir. "
"29 ","Sabirah ","","Patient, perseverant. "
"30 ","Sabirah, Saabira ","","Patient "
"31 ","Sabita ","????? ","Well established, certain, sure; fem. of Sabit. "
"32 ","Sabooha ","????? ","Pure, chaste. "
"33 ","Sabqat ","???? ","Supremacy. "
"34 ","Sabr ","","Patience, self control "
"35 ","Sabrina ","?????? ","Princess, daughter of the king. "
"36 ","Sabriya ","????? ","Patient; fem. of Sabri. "
"37 ","Sabriyah ","????? ","Right thing to do, lucky hand. "
"38 ","Sabuh ","???? ","Shining, brilliant. "
"39 ","Sabuhi ","","Morning Star "
"40 ","Sabura ","????? ","Very patient, enduring. "
"41 ","Sadad ","","Right thing to do, lucky hand "
"42 ","Sadaf ","??? ","Shell, Oyster. "
"43 ","Sadah ","","Happiness "
"44 ","Sadaqat ","????? ","Truth. "
"45 ","Sadat ","????? ","Happiness, bliss, felicity, success. "
"46 ","Sadeeqa ","????? ","Friend, companion; fem. of Sadiq. "
"47 ","Sadi ","???? ","Daughter of Awf al-Muruyyah and wife of Talhah bin UbaydAllah, she was a narrator of Hadith. "
"48 ","Sadiah ","","Good luck. "
"49 ","Sadida ","????? ","Correct, right, sound, appropriate; fem. of Sadid. "
"50 ","Sadiqa ","????? ","True, truthful, honest, sincere, faithful, veracious, devoted; fem. of Sadiq. "
"51 ","Sadiqah ","","Truthful, sincere. "
"52 ","Sadiya ","????? ","Happiness, luck, blissful, fortunate; fem. of Sadi. "
"53 ","Sadiyah ","","Fortunate "
"54 ","Sadoof ","???? ","Name of a poetess. "
"55 ","Sadooh ","???? ","Singer, singing. "
"56 ","Saduq ","???? ","Honest, truthful, sincere, trustworthy. "
"57 ","Saeeda ","????? ","Happy, lucky; fem. of Saeed. "
"58 ","Saeedah ","","Fortunate, Auspicious. "
"59 ","Safa ","??? ","A hill near the sacred Kaaba; stone, rock. "
"60 ","Safaa ","???? ","Purity, clarity, serenity. "
"61 ","Safeena ","????? ","A boat; Safeenah, Name of a narrator of Hadith, daughter of Muhammad bin Fadl (men are also so named) "
"62 ","Safeerah ","????? ","Messenger, Ambassador. "
"63 ","Saffanah ","","Pearl "
"64 ","Saffiya ","???? ","Pure, righteous, untroubled, serene, the most valuable portions of the spoils of battle, sincere and honest friend; fem. of Safi. "
"65 ","Safia ","????? ","Pure, clear, crystal; fem. of Saafi. "
"66 ","Safira ","????? ","Traveller. "
"67 ","Safiyya ","","Best friend. "
"68 ","Safiyyah ","","Untroubled, serene, pure, best friend. "
"69 ","Safiyyah, Safiya ","","Untroubled, serene, pure, best friend; wife of the Prophet "
"70 ","Safoor ","????? ","Exalted. "
"71 ","Safoorah ","","Wife of Prophet Musa (A.S). "
"72 ","Safreen ","????? ","Pure Love. "
"73 ","Safun ","","Breezing "
"74 ","Safura ","?????? ","Wife of the Prophet Musa. "
"75 ","Safwa ","???? ","The best part, elite, top, prime, flower. "
"76 ","Safwah ","","An Arab feminine name. "
"77 ","Safwana ","","A Shining Star, Rock. "
"78 ","Sageda ","","Sageda is ... "
"79 ","Sagheerah ","","Short. "
"80 ","Saghira ","????? ","Small, slender, tender. "
"81 ","Sahab ","???? ","Clouds. "
"82 ","Sahar ","??? ","Early dawn, early morning. "
"83 ","Sahibah ","????? ","Colleague. "
"84 ","Sahimah ","????? ","Partner "
"85 ","Sahira ","????? ","Moon, a spring which flows constantly. "
"86 ","Sahirah ","","Wakeful. "
"87 ","Sahla ","???? ","Smooth, simple, fluent, soft, facile, easy, even; fem. of Sahl. "
"88 ","Sahlah ","","Easy, convenient. "
"89 ","Sahlah, Sahla ","","Smooth, soft, fluent, flowing "
"90 ","Sahrish ","","Sunrise. "
"91 ","Saiba ","????? ","Straight, pertinent. "
"92 ","Saibah ","","She was a narrator of hadith. "
"93 ","Saida ","????? ","Rising, ascending; fem. of Said. "
"94 ","Saidah ","","Happy, fortunate "
"95 ","Saihah ","","Good, useful "
"96 ","Saila ","","Sunshine. "
"97 ","Saima ","????? ","Fasting; fem. of Saim. "
"98 ","Saimah ","???? ","Old Arabic name. "
"99 ","Saiqa ","","Lightning. "
"100 ","Saira ","????? ","Traveller "
"101 ","Sairah ","","One who travels. "
"102 ","Sairi ","???? ","Satisfaction, saturation. "
"103 ","Sairish ","","Magic, flower. "
"104 ","Saja ","","to be calm and quiet "
"105 ","Sajida ","????? ","Prostrate in worship, bowing in adoration; fem. of Sajid. "
"106 ","Sajidah ","","Prostrating to God "
"107 ","Sajila ","????? ","Determined. "
"108 ","Sajiya ","????? ","Attractive. "
"109 ","Sakeenah ","","Calm, quiet and tranquil. "
"110 ","Sakeeza ","????? ","Fragrance. "
"111 ","Sakha ","???? ","Generosity, liberality. "
"112 ","Sakhawat ","????? ","Generosity. "
"113 ","Sakhira ","????? ","One who is like a delicate flower. "
"114 ","Sakhiya ","???? ","Generous, liberal, open handed. "
"115 ","Sakina ","????? ","Calmness, comfort, ease, tranquillity, repose, serenity, peace of mind. "
"116 ","Sakinah ","","Allah-inspired peace of mind. "
"117 ","Sakinah, Sakeena ","","God inspired peace of mind, tranquility "
"118 ","Salam ","???? ","Peace, safety, security. "
"119 ","Salama ","????? ","Peace, safety, security; fem. of Salam. "
"120 ","Saleema ","????? ","Unhurt, affable, healthy, without defect, sound, perfect, complete, safe, secure; fem. of Salim. "
"121 ","Saleemah ","","Healthy, Sound. "
"122 ","Salifah ","????? ","Previous "
"123 ","Saliha ","????? ","Pious, virtuous, just, a chaste woman, righteous. "
"124 ","Salihah ","","Correct, agreeable "
"125 ","Salikah ","????? ","Following, mystic. "
"126 ","Salima ","????? ","Safe, secure, perfect, sound, complete; fem. of Salim. "
"127 ","Salimah ","","Sound, safe, healthy. "
"128 ","Salimah, Saleema ","","Peaceful, flawless, faultless, safe, healthy "
"129 ","Salma ","????? ","Pacifist, peaceful. "
"130 ","Salmaa ","","Peaceful. "
"131 ","Salmah ","???? ","Peace, fem. of Salm. "
"132 ","Salsabeel ","?????? ","Spring in Jannah. "
"133 ","Salsabil ","?????? ","A spring in paradise. "
"134 ","Salsabil, Salsabeel ","","Spring in Jannah "
"135 ","Salwa ","????? ","Quail, solace. "
"136 ","Salwah ","???? ","Comfort, ease, amusement. "
"137 ","Sama ","???? ","Heaven, sky. "
"138 ","Samaa ","","Sky. "
"139 ","Samah ","???? ","Generosity, bounty, good-heartedness, large-heartedness. "
"140 ","Samah, Samaah ","","Generosity "
"141 ","Samaira ","","Enchanting. "
"142 ","Saman ","??? ","Price, value. "
"143 ","Samar ","??? ","Pleasant conversation, evening or nightly conversation. "
"144 ","Samara ","????? ","Protected By God. Soft pleasant light, She was a narrator of hadith. "
"145 ","Samarah ","????? ","A narrator of Hadith, daughter of Qays al-Ansari. "
"146 ","Samawah ","","Summit, height "
"147 ","Sameea ","","One who listens. "
"148 ","Sameeah ","????? ","Hearing. "
"149 ","Sameeha ","","Generous blessing of Allah. "
"150 ","Sameen ","???? ","Costly, precious, valuable. "
"151 ","Sameenah ","????? ","Valuable, costly, precious, priceless excellent; fem. of Smeen. "
"152 ","Sameera ","????? ","Companion (in nightly conversation), entertainer (with stories, music etc.) fem. of Samir. "
"153 ","Sameh ","","Forgiver "
"154 ","Sameya ","","Pure. "
"155 ","Samia ","????? ","Eminent, exalted, lofty, elevated, high minded, sublime; fem. of Sami. "
"156 ","Samiah ","","Forgivness or forgiver. "
"157 ","Samiha ","????? ","Generous, kind, true, sincere, good-hearted, large-hearted, open-handed; fem. of Samih. "
"158 ","Samihah, Sameeha ","","Generous "
"159 ","Samim ","???? ","Sincere, genuine, pure, true, essence, heart. "
"160 ","Samima ","????? ","True, sincere, genuine. "
"161 ","Samina ","????? ","A healthy girl, fertile land without rock and stone. "
"162 ","Samiqa ","????? ","Lofty, towering. "
"163 ","Samira ","????? ","Fruit-bearing, fruitful, productive; fem. of Samir. "
"164 ","Samirah ","","Entertaining female companion. "
"165 ","Samirah, Sameera ","","Entertaining female companion "
"166 ","Samitah ","????? ","Mighty. "
"167 ","Samiun ","","The Hearing. "
"168 ","Samiya ","????? ","To Hear. "
"169 ","Samiyah ","","Elevated, exalted, lofty. "
"170 ","Samiyah, Saamiya ","","Elevated, exhalted, lofty "
"171 ","Sammar ","","Fruit. "
"172 ","Samra ","","Soft, light tanned color "
"173 ","Samrah ","???? ","Profit, fruit. "
"174 ","Samreen ","????? ","Fruitful, Beneficial, Helpful. "
"175 ","Samrina ","?????? ","Flower or fruit. "
"176 ","Samshad ","????? ","Long, Beautiful Tree "
"177 ","Sana ","???? ","Brilliance, radiance, resplendence, splendour, majestic. "
"178 ","Sana, Sanaa ","","Eminence, sublimity, Brilliance, splendor "
"179 ","Sanad ","??? ","Support, prop, document. "
"180 ","Sanam ","??? ","Beautiful, friend, lover, loved one. "
"181 ","Sanari ","","Sweet and Beautiful. "
"182 ","Sanaubar ","","Cone bearing tree. "
"183 ","Sanaubur ","????? ","Cone bearing tree. "
"184 ","Sandara ","????? ","Song. "
"185 ","Sangeet ","????? ","Music, rhythm. "
"186 ","Sangina ","?????? ","Polite. "
"187 ","Saniha ","????? ","Tall and high, bright. "
"188 ","Sanika ","","Strong minded, warm hearted. "
"189 ","Sanina ","????? ","Friend, childhood friend. "
"190 ","Saniya ","???? ","Brilliant, majestic, exalted, eminent, splendid; fem. of Sani. "
"191 ","Saniyah ","","Resplendence, brilliance "
"192 ","Sanjeeda ","?????? ","Weighted, guarded. "
"193 ","Sanjeedah ","","Serious. "
"194 ","Saqaafa ","????? ","Wisdom, prudence. "
"195 ","Saqabat ","????? ","Brightness "
"196 ","Saqat ","??? ","Strength, courage, power. "
"197 ","Saqiba ","????? ","Penetrating, piercing, sharp-witted, sagacious, acute; fem. of Saqib. "
"198 ","Sara ","???? ","Wealth. "
"199 ","Sarab ","???? ","Mirage. "
"200 ","Sarah ","","Name of the wife of the Prophet Ibrahim "
"201 ","Sarahat ","????? ","Explanation, detail, paraphrase. "
"202 ","Sareea ","????? ","Determined. "
"203 ","Sareema ","????? ","Determination, resolution. "
"204 ","Sariba ","????? ","Loverly. "
"205 ","Sarina ","?????? ","Satisfactory, calm, cool. "
"206 ","Sarish ","???? ","Morning. "
"207 ","Sarita ","????? ","Intelligent, clever, active. "
"208 ","Sariyah ","????? ","Name of a female companion of the Prophet PBUH. "
"209 ","Sarood ","???? ","Rhythm and ecstasy. "
"210 ","Saroor ","???? ","Happiness, calm, satisfaction. "
"211 ","Sarosh ","???? ","One who gives good news, unseen voice "
"212 ","Sarra ","???? ","She was a companion daughter of nabhan al-Ghanawiyah. "
"213 ","Sarrinah ","","Beautiful, companion of prophet (S.A.W). "
"214 ","Sarvia ","????? ","Rich woman, affluent lady. "
"215 ","Sarwa ","???? ","Fortune, wealth, riches. "
"216 ","Sarwana ","?????? ","Of generous and good nature. "
"217 ","Sarwar ","???? ","Chief. "
"218 ","Sarwari ","????? ","Chief ship "
"219 ","Sarwat ","???? ","Wealth. "
"220 ","Sarwath ","","Wealth, riches. "
"221 ","Sarya ","???? ","Name of a pious woman. "
"222 ","Sasha ","???? ","Helper, assistant, supporter. "
"223 ","Sataish ","????? ","Praise. "
"224 ","Satila ","????? ","Royal. "
"225 ","Sauda ","???? ","Leadership, the narrator of five Ahadith: Syeda Sauda bint Zam'aa RA "
"226 ","Sauda, Sawdah ","","Wife of the Prophet "
"227 ","Sawab ","???? ","Reward. Name of an early poetess. "
"228 ","Sawda ","????? ","Daughter of Aasim bin Khalid bin Dirar al-Qarshiyah, she was a narrator of Hadith. "
"229 ","Sawdah ","???? ","Black. "
"230 ","Sawera ","????? ","Dawn, early morning. "
"231 ","Sawsan ","???? ","Lily of the valley. "
"232 ","Sayida ","???? ","Chief, leader, lady, Mrs; fem. of Sayyid. "
"233 ","Sayidatun Nisa ","?????????? ","Chief of woman. "
"234 ","Sayyah ","???? ","Fragrance. "
"235 ","Sayyidah ","???? ","Lady, woman. "
"236 ","Seemeen ","","Name of some women. "
"237 ","Seerat ","???? ","Character, life-story. "
"238 ","Sehr ","","Sunrise. "
"239 ","Sehrish ","???? ","Glamorous, magical. "
"240 ","Selina ","","Moon, Salty. "
"241 ","Senada ","","Graceful, heavenly. "
"242 ","Senait ","","Good Luck. "
"243 ","Senzela ","?????? ","Type of Flower. "
"244 ","Sfiyah ","","Righteous "
"245 ","Shaban ","????? ","The eighth month of the Islamic Calendar. "
"246 ","Shabana ","????? ","Nocturnal, Famous of the Night. "
"247 ","Shabeehah ","????? ","Picture, Image, like. "
"248 ","Shabin ","???? ","Of Night, music of night. "
"249 ","Shabina ","","The eye of the storm. "
"250 ","Shabnam ","???? ","Dew, a pendant of pearls. "
"251 ","Shad ","??? ","Happy. "
"252 ","Shadaab ","????? ","Green, fresh, wet, ever-green. "
"253 ","Shadan ","????? ","Happy. "
"254 ","Shadha ","??? ","Aroma. "
"255 ","Shadha, Shadhaa ","","Aroma "
"256 ","Shadhiyah ","","Aromatic "
"257 ","Shadia ","????? ","Singer. "
"258 ","Shadin ","???? ","Fawn, young deer. "
"259 ","Shadiyah ","","Singer "
"260 ","Shadman ","?????? ","Glad, cheerful, joyful. "
"261 ","Shadmani ","","Joy, happiness. "
"262 ","Shafaat ","????? ","Recommendation, exoneration. "
"263 ","Shafana ","","Integrity and Virtuous. "
"264 ","Shafaq ","??? ","Aurora, morning light. "
"265 ","Shafath ","","Curing or healing people. "
"266 ","Shafeeqah ","","A compassionate kind hearted friend. "
"267 ","Shaffan ","???? ","Cool breeze, morning breeze. "
"268 ","Shafia ","????? ","Mediatress; fem. of Shafi. "
"269 ","Shafiah ","????? ","One who recommends. "
"270 ","Shafiqa ","????? ","Compassionate, kind-hearted, affectionate, tender, warm-hearted; fem. of Shafiq. "
"271 ","Shafiqah ","","Compassionate, sympathetic "
"272 ","Shafqat ","???? ","Compassion, pity, kindness, tenderness. "
"273 ","Shaghalay ","????? ","Contended. "
"274 ","Shagoofa ","????? ","blossom "
"275 ","Shagoon ","???? ","Omen, luck, fortunate, destiny. "
"276 ","Shaguftah ","????? ","Blooming, happy. "
"277 ","Shahaba ","????? ","Flame of fire. "
"278 ","Shahada ","","Bearing witness. "
"279 ","Shahamat ","????? ","Bravery, valour. "
"280 ","Shahana ","?????? ","Royal, kingly, splendid, magnificent. "
"281 ","Shahay ","???? ","Beautiful, Heroine of Folk Tale (Dalay aw Shahay; a Love story at the Times of Mughal Emperor Akbar) "
"282 ","Shahd ","","Honey, honeycomb "
"283 ","Shahed ","","Honey. "
"284 ","Shaheeda ","????? ","Martyr in the cause4 of Islam and as such held in very high esteem and honour; fem of . "
"285 ","Shaheen ","????? ","A royal white falcon, the beam of scales. "
"286 ","Shaheenah ","?????? ","Falcon. "
"287 ","Shaheera ","????? ","Famous, eminent, renowned; fem. of Shahir. "
"288 ","Shaheerah ","","Well-known. "
"289 ","Shahida ","????? ","Martyr in the cause of Islam and as such held in very high esteem and honour; fem. of Shaheed. "
"290 ","Shahidah ","","Witness "
"291 ","Shahina ","?????? ","Princess. "
"292 ","Shahiqa ","????? ","High, towering, lofty, tall; fem. of Shahiq. "
"293 ","Shahirah ","","Well known, famous "
"294 ","Shahla ","","Dark flower, Dark grey eyes. "
"295 ","Shahlah ","","Blush "
"296 ","Shahlalai ","??? ????? ","Queen of Flowers. "
"297 ","Shahnaaz ","","Pride of the king. "
"298 ","Shahnaz ","????? ","A musical note, name of a melody. "
"299 ","Shahnoor ","","Royal Glow. "
"300 ","Shahra ","???? ","Gift, souvenir. "
"301 ","Shahrazad ","","Teller of ""Tales of 1,001 Nights"" "
"302 ","Shahrbano ","??????? ","Lady of the city. "
"303 ","Shahrin ","????? ","Month. Shahrin, the fully inflected form of Shahr appears in verse 3 of surat al-Qadr (no. 97). "
"304 ","Shahrnaz ","?????? ","The towns loved/favorite one. "
"305 ","Shahrzadah ","??????? ","offspring of the city "
"306 ","Shahzaadee ","","Princess. "
"307 ","Shahzadi ","??????? ","Princess. "
