"S/N","English ","Arabic ","Meaning "
"1 ","Taadeel ","????? ","Moderation, equality, neutrality. "
"2 ","Taaliah ","????? ","Lucky, fortunate, fortune, destiny. "
"3 ","Taaqul ","????? ","Wise thought. "
"4 ","Taasees ","????? ","Inception, foundation. "
"5 ","tab ","???? ","Censure. "
"6 ","Taba ","???? ","Clean "
"7 ","Tabalah ","????? ","She was the daughter of Yazid (Called by some as Bunanah); she was a narrator of Hadith. "
"8 ","Taban ","????? ","Glittering, splendid. "
"9 ","Tabana ","?????? ","Bright moonlight. "
"10 ","Tabani ","?????? ","Light "
"11 ","Tabassum ","???? ","Smile, happiness. "
"12 ","Tabeedah ","?????? ","Complex, zigzag, curling. "
"13 ","Tabeen ","????? ","Followers. "
"14 ","Tabeer ","????? ","Result of deeds. "
"15 ","Tabina ","?????? ","Enlighting, sparkling. "
"16 ","Tabinda ","?????? ","Bright. "
"17 ","Tafida ","","Paradise (egyptian name). "
"18 ","Taghrid ","????? ","Singing, cooing. "
"19 ","Tahani ","????? ","Pl. of Tahniat, congratulation, felicitation, well-wishing. "
"20 ","Taheera ","????? ","??????? ?? ??? "
"21 ","Tahera ","","Pure, chaste. "
"22 ","Tahira ","????? ","Chaste, pure, pious, clean; fem. of Tahir. "
"23 ","Tahirah ","","Pure, chaste. "
"24 ","Tahirah, Taahira ","","Pure, chaste "
"25 ","Tahiya ","???? ","Greeting, salutation, cheer, welcome. "
"26 ","Tahiyah ","","Greeting "
"27 ","Tahiyat ","????? ","Greetings. "
"28 ","Tahkeem ","????? ","Power, rule. "
"29 ","Tahleem ","????? ","Beauty, decoration, pomp and show. "
"30 ","Tahmina ","?????? ","Wife of the famous Persian hero Rustam and mother of Sohrab. "
"31 ","Tahreem ","","Respectful, Respected, One who gives respect "
"32 ","Tahseen ","????? ","Adornment, ornament, decoration, embellishment, betterment, praise, beautification. "
"33 ","Tahseenah ","?????? ","Acclaim. "
"34 ","Taiba ","????? ","One who refrains from evil-doings; repentant; fem. of Taib. "
"35 ","Taibah ","","Repentant. "
"36 ","Taif ","??? ","Vision, spectre. "
"37 ","Taima ","????? ","Oasis in Northwest Arabia. "
"38 ","Taima, Tayma ","","Oasis in Northwest Arabia "
"39 ","Taisir ","????? ","Felicitation. "
"40 ","Taj ","??? ","Crown. "
"41 ","Tajmeel ","????? ","Decoration, beauty, show. "
"42 ","Tajweed ","????? ","Praise of Allah, hymn. "
"43 ","Takiyah ","???? ","Pious, righteous. "
"44 ","Takreem ","????? ","Respect, honour, sanctity. "
"45 ","Talah ","??? ","Young palm tree. "
"46 ","Talah, Taalah ","","Young palm tree "
"47 ","Talat ","???? ","Face, Sight "
"48 ","Talbashah ","????? ","A narrator of Hadith, daughter of Kab bin Maalik. "
"49 ","Talhah ","???? ","Her Kuniyah was Umm Ghurab and she was a narrator of Hadith. "
"50 ","Tali ","???? ","Rising star, rising. "
"51 ","Taliba ","????? ","Student, seeker, pursuer; fem. of Talib. "
"52 ","Talibah ","","Seeker after knowledge "
"53 ","Talwasa ","?? ??? ","As in may you always live. "
"54 ","Tamadur ","????? ","Brilliant. "
"55 ","Tamanna ","????? ","To wish, to desire, to hope. "
"56 ","Tamara ","","Date tree. "
"57 ","Tamazur ","????? ","Brilliant, whiteness. "
"58 ","Tameemah ","????? ","Name of a poetess, Ahban al-Absiyah. "
"59 ","Tameemiya ","??????? ","Perfection. "
"60 ","Tameen ","????? ","Protection, patronage, care. "
"61 ","Tameez ","???? ","Distinction, difference, manner. "
"62 ","Tamkeen ","????? ","Honour, place, status, show. "
"63 ","Tamseel ","????? ","Example, allegory, parable. "
"64 ","Tanisha ","","Happiness. "
"65 ","Tanjia ","????? ","Rescue, salvation, deliverance. "
"66 ","Tannaz ","???? ","??? ?????? ????, coquttish "
"67 ","Tanveer ","????? ","Rays Of Light(Origin Islamic) "
"68 ","Tanweer ","","Radiant, Illuminating. "
