"S/N","English ","Arabic ","Meaning "
"1 ","Zaahirah ","","Guest. "
"2 ","Zaaminah ","????? ","One who stands surety for another one who helps. "
"3 ","Zaara ","","Beautiful Flower. "
"4 ","Zababa ","????? ","Leader, Head, Chief "
"5 ","Zabia ","???? ","Like Deer "
"6 ","Zabiyah ","???? ","She was the daughter of al-Barra bin Maroor; she reported Hadith from the Prophet PBUH. "
"7 ","Zabreen ","????? ","Dominant, exalted, upright. "
"8 ","Zabya ","???? ","Female gazelle. "
"9 ","Zada ","","???? ???? ???? "
"10 ","Zaeemah ","","Leader "
"11 ","Zafana ","????? ","???? ?? "
"12 ","Zafeera ","????? ","One who is a source of success, a successful lady. "
"13 ","Zafeerah ","????? ","Firm. "
"14 ","Zafira ","????? ","Victorious, triumphant, successful, winner, conqueror; fem. of Zafir. "
"15 ","Zafirah ","????? ","Victorious, successful. "
"16 ","Zafirah, Zaafirah ","","Victorious, successful "
"17 ","Zaghlula ","??????? ","Young pigeon; fem. of Zaghlul. "
"18 ","Zahabia ","????? ","Golden, precious. "
"19 ","Zahabiya ","","Gold. "
"20 ","Zahara ","","Flower, beauty, star. "
"21 ","Zaheen ","???? ","Clever, fast, intelligent, sharp. "
"22 ","Zaheera ","????? ","Helper, supporter, protector, patron; fem. of Zahir. "
"23 ","Zaheerah ","","Helper, Assistant. "
"24 ","Zahia ","????? ","Pious, noble, grand, great. "
"25 ","Zahida ","????? ","Devout, ascetic, a hermit, self-denying. "
"26 ","Zahidah ","","Ascetic, abstentious "
"27 ","Zahira ","????? ","Bright, brilliant, shining, luminous, distinguished, lofty. "
"28 ","Zahirah ","","Shining, luminous "
"29 ","Zahra ","????? ","Bright, brilliant, radiant, shining, luminous; fem. of Azhar. "
"30 ","Zahra, Zahraa ","","White "
"31 ","Zahraa ","","Lady of Jannah. "
"32 ","Zahrah ","???? ","Flower, blossom, beauty. "
"33 ","Zahwah ","???? ","Beauty, pretty. "
"34 ","Zaib ","??? ","Beauty. "
"35 ","Zaiba ","???? ","Beautiful. Adorned "
"36 ","Zaid ","","Growth, Increase. "
"37 ","Zaida ","????? ","Increasing, exceeding, excessive, growing, surplus; fem. of Zaid. "
"38 ","Zaima ","????? ","Leader. "
"39 ","Zain ","??? ","Beauty, grace. Zayn un Nisa was a literary lady of her times. "
"40 ","Zain, Zayn ","","Beauty "
"41 ","Zaina ","???? ","Fem. of Zayn; embellishment, adornment, decoration, ornament. "
"42 ","Zainab ","???? ","Name of a beautiful tree exuding fragrance. Names of two wives and one daughter of the Prophet Muhammad (pbuh) and one daughter of Khalifa Ali. "
