"S/N","English ","Arabic ","Meaning "
"1 ","Ebi ","?? ","Paternal "
"2 ","Ehan ","","Full moon. "
"3 ","Ehsaan ","????? ","Favour, good. "
"4 ","Ehsan ","???? ","Goodness. "
"5 ","Ehtisham ","?????? ","Modesty, decency. "
"6 ","Ejaz ","????? ","Miracle, wondrous nature. "
"7 ","Ekhlaq ","????? ","Character "
"8 ","El-Amin ","","Trustworthy. "
"9 ","Elias ","????? ","Name of one Prophet. "
"10 ","Emad ","???? ","Leader "
"11 ","Emran ","","Progress, Achievement. "
"12 ","Eshan ","???? ","In God Grace, Worthy. "
"13 ","Esmaeel ","??????? ","Son of Abraham. "
