"S/N","English ","Arabic ","Meaning "
"1 ","Haafiz ","???? ","Title of a man who has memorized the whole Quran; guardian, protector, attribute of Allah. "
"2 ","Haalim ","???? ","Grown up. "
"3 ","Haaziq ","","Intelligent, Skillfull. "
"4 ","Habab ","???? ","Aim, goal, end. "
"5 ","Habash ","???? ","Guinea hen, Guinea fowl;, turkey; A tabaee (successor of the companions) was so named. "
"6 ","Habbab ","","Affable, lovable "
"7 ","Habeel ","????? ","Name of one of the sons of Sayyidina Aadam AS; his sacrifice wias accepted by Allah but that of Qabeel, his brother rejected. "
"8 ","Habib ","???? ","Beloved, dear, friend. "
"9 ","Habibullah ","???? ???? ","Friend of Allah, dear to Allah. "
"10 ","Habis ","???? ","Ibn Sad al-Taiy had this name; he ws a narrator of Hadith; a companion, Al-Tamimi RA also had this name. "
"11 ","Hadad ","???? ","Syrian god of fertility, Joy, Noise "
"12 ","Hadaya ","????? ","Gifts, presents, pl. of Hadiyaa. "
"13 ","Hadbar ","???? ","Beautiful "
"14 ","Haddad ","???? ","Blacksmith, Iron Smith; An Egyption jurist and judge who was a disciple of Al-Tabari, Muhammad Ibn-Ahmad was named ibn Al-Haddad "
"15 ","Haddaq ","???? ","Wise. "
"16 ","Hadee ","","Director, guide. "
"17 ","Hadi ","???? ","One who leads to the right path, guide, one of the names of Allah. "
"18 ","Hadrami ","????? ","There have been notable men with this name, for isntance, (i) Abdullah ibn-Abi Ishaq, a Quran reciter of Basrah. "
"19 ","Hafeez ","???? ","Guardian, protector. "
"20 ","Hafid ","","The wise one. "
"21 ","Hafiz ","","Protector, one who has memorized the Quran "
"22 ","Hafizullah ","??? ???? ","Remembrance of Allah "
"23 ","Hafs ","??? ","Collecting, gathering. "
"24 ","Haidar ","???? ","Lion, Title of Caliph Ali. "
"25 ","Haider ","","Lion. "
"26 ","Haikal ","","Tale. "
"27 ","Hairum ","???? ","Pious. "
"28 ","Haji ","???? ","Title of someone who has performed Hajj. "
