"S/N","English ","Arabic ","Meaning "
"1 ","Ma'dan ","????? ","Name of the tutor of the family of Ziyad ibn Abih at Basrah and then at Kufah; he was called al-fil because of the elephant his master had given. "
"2 ","Ma'mar ","???? ","One who lives long, an edifice or a building. "
"3 ","Ma'mun ","","Trustworthy, reliable. "
"4 ","Ma'n ","??? ","Examine closely; accept the truth. "
"5 ","Maad ","??? ","An old Arabian Tribe's name. "
"6 ","Maahir ","???? ","Skillful, able, experienced. "
"7 ","Maali ","????? ","Noble, sublime, Excellency. "
"8 ","Maalik ","???? ","Owner, proprietor, master, lord. Allah's epithet. "
"9 ","Maaz ","???? ","A Friend Of Prophet Muhammad(PBUH) "
"10 ","Mabad ","???? ","A place of worship; Many of the prominent people had this name including the companions ibn Khalid al-Juhanni and ibn-Hawzah RA. "
"11 ","Mabruk ","????? ","Blessed, prosperous. "
"12 ","Mad ","","Old Arabic name "
"13 ","Madani ","???? ","Urbane, civilized. "
"14 ","Madhat ","???? ","Praise, lauding. "
"15 ","Madih ","???? ","Praised, commendable. "
"16 ","Mahad ","","Great, nice. "
"17 ","Mahasin ","????? ","Pl. of Mahsana, beauty, attraction, virtue, merit. "
"18 ","Mahaz ","","The place of war. "
"19 ","Mahbeer ","","Brave. "
"20 ","Mahboob ","????? ","Dear, beloved. "
"21 ","Mahbub ","","Beloved, dear "
"22 ","Mahbubullah ","????? ???? ","Beloved of Allah. "
"23 ","Mahd ","","The guided one. "
"24 ","Mahdi ","???? ","Rightly guided. "
"25 ","Maheen ","???? ","Fine or thin texture, feeble voice (also; despised, contemptuous). "
"26 ","Maheer ","????? ","Brave. "
"27 ","Maher ","","Skilled. "
"28 ","Mahfuz ","????? ","Safeguarded, well-protected, preserved, secure. "
"29 ","Mahfuzur Rahman ","????? ??????? ","Protected of the Beneficent "
"30 ","Mahib ","???? ","Majestic, dignified, magnificent. "
"31 ","Mahir ","???? ","Skilled, skilful, proficient. "
"32 ","Mahja ","???? ","Place to sleep, quarters, lodgings. "
"33 ","Mahjub ","????? ","Hidden, covered, screened. "
"34 ","Mahmood ","????? ","Praised, commendable, praiseworthy. "
