"S/N","English ","Arabic ","Meaning "
"1 ","Na'il ","","Acquirer, earner. "
"2 ","Naabih ","???? ","Noble, famous, eminent, distinguished, brilliant. "
"3 ","Naadhir ","???? ","Fresh. "
"4 ","Naadir ","","Dear, Rare, Precious. "
"5 ","Naaqid ","???? ","A critic, a reviewer, a fault founder. "
"6 ","Naase ","???? ","Clear, pure, white. "
"7 ","Nabeel ","???? ","Handsome, intelligint, dexterous, one who isskilled in archery. "
"8 ","Nabhan ","","Alert. "
"9 ","Nabhan, Nabih ","","Noble, outstanding "
"10 ","Nabi ","??? ","Prophet sent by Allah for the guidance of mankind. "
"11 ","Nabi Bakhsh ","??? ??? ","Gift of the Prophet. "
"12 ","Nabigh ","???? ","Distinguished; talented; man of genius, brilliant person. "
"13 ","Nabighah ","","Intelligent "
"14 ","Nabih ","???? ","Famous, noble, outstanding, eminent, distinguished, brilliant. "
"15 ","Nabil ","???? ","Noble, high born, honourable, intelligent, dexterous, one skilled in archery. "
"16 ","Nabil, Nabeel ","","Noble "
"17 ","Nabiullah ","??? ???? ","An epithet of the Prophet Nuh. "
"18 ","Nadeem ","???? ","Intimate friend, boon companion, courtier. "
"19 ","Nadhir ","","Warner "
"20 ","Nadim ","","Friend, companion. "
"21 ","Nadim, Nadeem ","","Friendly, entertaining "
"22 ","Nadir ","???? ","Extraordinary, rare, dear, exceptional. "
"23 ","Nadr ","","Flourishing. "
"24 ","Naeem ","???? ","Happiness, comfort, ease, tranquil, felicity, peaceful, bliss, pleasure, bounty, anything given as gift. "
"25 ","Naeemullah ","???? ???? ","Grace of Allah, bliss of Allah. "
"26 ","Naef ","??? ","Excess, surplus. "
"27 ","Nafasat ","????? ","Refinement. "
"28 ","Nafees ","???? ","Refined, pure, choice, exquisite, precious, invaluable, costly. "
"29 ","Nafi ","???? ","Beneficial, advantageous, profitable. "
"30 ","Nafis ","","Precious. "
"31 ","Nahid ","","Generosity "
"32 ","Nahyan ","????? ","Stopper, the one who says to avoid. "
"33 ","Naib ","???? ","Deputy. "
"34 ","Naif ","???? ","Exalted, lofty, eminent, superior. "
"35 ","Nail ","???? ","Winner, gainer. "
"36 ","Naim ","???? ","One who lives a good life, who lives proudly. "
"37 ","Najaat ","???? ","Rescue, salvation, deliverance. "
"38 ","Najah ","???? ","Success. "
"39 ","Najair ","","Little Star. "
"40 ","Najam ","","Star. "
"41 ","Najeeb ","???? ","Noble "
"42 ","Najeed ","???? ","Highland. "
"43 ","Najeeh ","???? ","Sound, good (opinion). "
"44 ","Naji ","???? ","Saved, liberated, safe. "
"45 ","Najib ","???? ","Excellent, noble, distinguished, praiseworthy, generous, aristocratic. "
"46 ","Najib, Najeeb ","","Of noble descent "
"47 ","Najib-ud-Din ","???? ????? ","Distinguished (person) of religion. "
"48 ","Najibullah ","???? ???? ","Distinguished (servant) of Allah. "
"49 ","Najid ","???? ","One who helps, supports. "
"50 ","Najih ","???? ","Successful, prosperous. "
"51 ","Najillah ","???? ???? ","Saved by Allah. An epithet of Prophet Nuh. "
"52 ","Najiullah ","??? ???? ","Intimate friend of Allah. "
"53 ","Najjar ","??? ","Carpenter. "
"54 ","Najji ","??? ","Intimate friend, bosom friend. "
"55 ","Najm ","??? ","Star, planet. "
"56 ","Najm al Din ","","Star of the faith "
"57 ","Najmuddawlah ","??? ?????? ","Star of the state. "
"58 ","Najmuddin ","??? ????? ","Star of the religion (Islam). "
"59 ","Naman ","","Old Arabic name "
"60 ","Namdar ","?????? ","Renowed, famous. "
"61 ","Nameer ","???? ","Pure, clear, healthy, good. "
"62 ","Namir ","??? ","Leopard, tiger, panther. "
"63 ","Namood ","???? ","Sample, model, paragon. "
"64 ","Nangial ","?????? ","Honorable. "
"65 ","Naqeeb ","","Leader. "
"66 ","Naqi ","??? ","Pure, clean. "
"67 ","Naqib ","???? ","President, head, chief. "
"68 ","Naqid ","???? ","A critic; a reviewer; a fault-finder. "
"69 ","Naqit ","???? ","Salih bin Aasim had this name. "
"70 ","Naqqash ","???? ","Artist, A famous player of Pakistan: Tahir Naqqash. "
"71 ","Nasar ","??? ","Help, Support "
"72 ","Naseeb ","???? ","Name of Ibn Rabah al-Thaqati a black slave who fought in the early wars of Islam. "
"73 ","Naseef ","","The just one. "
"74 ","Naseem ","???? ","Gentle wind, fresh air, fragrant air, zephyr, a cool breeze. "
"75 ","Naseer ","???? ","Helper, protector, patron. "
"76 ","Naseeruddin ","???? ????? ","Defender of the religion (Islam). "
"77 ","Nashah, Nashat ","","Growing up, youth "
"78 ","Nashat ","???? ","Joy, Cheer. "
"79 ","Nasheet ","???? ","Energetic, dynamic, lively, fresh, vigorous. "
"80 ","Nashir ","???? ","One who publishes. "
"81 ","Nashit ","???? ","Energetic, dynamic, lively, fresh, vigorous. "
"82 ","Nashwan ","????? ","Elated, exalted, exuberant. "
"83 ","Nasib ","???? ","Noble, highborn. "
"84 ","Nasif ","???? ","Just. "
"85 ","Nasih ","???? ","Adviser, counselor. "
"86 ","Nasihuddin ","???? ????? ","Counselor of the religion (Islam). "
