"S/N","English ","Arabic ","Meaning "
"1 ","Ra'id ","","Leader, pioneer. "
"2 ","Raafe ","???? ","A companion "
"3 ","Raahil ","","Path guider. "
"4 ","Raashid ","???? ","Major, Adult, Orthodox, Guided, Intelligent. "
"5 ","Raazi ","???? ","Satisfied, contended, well-pleased. "
"6 ","Rab ","?? ","Lord, master. One of the names of Allah. "
"7 ","Rabah ","???? ","Gain, profit. "
"8 ","Rabar ","","A loving and caring person to all. "
"9 ","Rabbani ","????? ","Divine, from Allah. "
"10 ","Rabee ","","Spring. "
"11 ","Rabees ","???? ","Powerful, fearless, dauntless. "
"12 ","Rabi ","???? ","Spring, springtime. "
"13 ","Rabi' ","","Spring, breeze. "
"14 ","Rabiah ","","Greenery. "
"15 ","Rabih ","???? ","Winner, gainer. "
"16 ","Rabit ","???? ","Binding, Fastening. "
"17 ","Radi ","","Satisfied, content "
"18 ","Raees ","???? ","Rich, Wealthy, Chief. "
"19 ","Raem ","???? ","One who has a desire and searches. "
"20 ","Rafan ","???? ","Beautiful, graceful. "
"21 ","Rafaqat ","????? ","Friendship, closeness. "
"22 ","Rafay ","","The Exaulter, To Elevate Rank "
"23 ","Rafaz ","???? ","Ways, paths, pieces, parts "
"24 ","Rafee ","","High, High-ranking, cultured, refined. "
"25 ","Rafeek ","","Friend. "
"26 ","Rafi ","???? ","High ranking, noble, eminent, exalted, sublime. "
"27 ","Rafi-ud-Din ","???? ????? ","Noble (person) of the religion (Islam). "
"28 ","Rafid ","???? ","Tributary stream, affluent, helper, supporter, aide. "
"29 ","Rafif ","???? ","Glittering, shining, gleaming. "
"30 ","Rafiq ","???? ","Associate, intimate friend, companion. "
"31 ","Rafiqul Islam ","???? ??????? ","Friend of Islam. "
"32 ","Rafq ","??? ","Patience, Tolerance, Endurance "
"33 ","Ragheed ","???? ","Comfort, opulence, affluence. "
"34 ","Raghib ","???? ","Willing, desirous, wishful, inclined towards anything. "
"35 ","Raghib, Ragheb ","","Desirous, willing "
"36 ","Raghid ","","Pleasant "
"37 ","Raham ","???? ","Merciful. "
"38 ","Raham Dil ","??? ?? ","Merciful Heart. "
"39 ","Rahat ","???? ","Rest, Repose, Peace. "
"40 ","Rahbar ","???? ","Leader, guide, coach. "
"41 ","Raheeb ","???? ","Merciful, Kind. "
"42 ","Raheel ","????? ","Name of the mother of Prophet Yousaf (AS), To move for journey "
"43 ","Raheesh ","","Leader, Chief, Rich. "
"44 ","Rahil ","","Path guider. "
"45 ","Rahim ","???? ","Kind, generous, kindly, nice. "
"46 ","Rahman ","????? ","Al-Rahman, the most Gracious; one of the names of Allah. "
"47 ","Rahmat ","???? ","Sympathy, mercy, compassion, kindness. "
"48 ","Rahmatullah ","???? ???? ","Mercy of Allah. "
"49 ","Rai ","???? ","Guardian, custodian, patron, protector, sponsor. "
"50 ","Raid ","???? ","Pioneer, explorer, leader, model. "
"51 ","Raif ","","Merciful, gentle "
"52 ","Raihan ","","Heavens' Flower. "
"53 ","Raiq ","???? ","Pure, clear, tranquil, serene. "
"54 ","Rais ","???? ","Leader, chief, president, superior, nobleman. "
"55 ","Raisuddin ","???? ????? ","Leader of the religion (Islam). "
"56 ","Raja ","???? ","Hope, wish. "
"57 ","Raja Al-Karim ","?????????? ","Hope of the Kind. "
"58 ","Rajaa ","","Hope. "
"59 ","Rajab ","??? ","A month of Islamic calendar. "
"60 ","Rajeel ","???? ","One who walks too much, steadfast. "
"61 ","Raji ","???? ","Hopeful, hoping, full of hope. "
"62 ","Rajih ","","Having the upper hand, more acceptable "
"63 ","Rakhshan ","????? ","Dazzling, Shining, Bright. "
"64 ","Rakin ","","Respectful, firm, confident "
"65 ","Ramadan ","????? ","Name of Islamic month of fasting. Many people have this name. "
"66 ","Rameez ","","Symbol. "
"67 ","Rami ","","Marksman "
