"S/N","English ","Arabic ","Meaning "
"1 ","Sa'd ","","Felicity. "
"2 ","Sa'dan ","","Happy, fortunate. "
"3 ","Sa'id ","","Happy, fortunate. "
"4 ","Sa'im ","","Fasting. "
"5 ","Sa'ir ","","Walking, going on foot. "
"6 ","Sa'irah ","????? ","Walking. "
"7 ","Sa'ood ","","Fortunate, Happy. "
"8 ","Saad ","??? ","Good luck, good fortune, success, happiness, prosperity, lucky. "
"9 ","Saadah ","","Happiness "
"10 ","Saadat ","????? ","Prosperity, happiness, good fortune, auspiciousness. "
"11 ","Saadi ","???? ","Happy, lucky, blissful fortunate, name of a great Persian poet. "
"12 ","Saaduddin ","???????? ","Success of the religion (Islam). "
"13 ","Saadullah ","??????? ","Joy of Allah. "
"14 ","Saafi ","???? ","Pure, clear, crystal. "
"15 ","Saafir ","","Ambassador, handsome. "
"16 ","Saami ","???? ","Eminent, exalted, high-minded, sublime. "
"17 ","Saamir ","???? ","Fruit-bearing, fruitful, productive. "
"18 ","Saaqib ","","Star. "
"19 ","Sab ","","Lion "
"20 ","Sabah ","???? ","Morning. "
"21 ","Sabahat ","????? ","Beauty, Grace, Handsomeness. "
"22 ","Sabaque ","???? ","One who surpasses or excels. "
"23 ","Sabat ","???? ","Firmness, stability, certainty, endurance, boldness, truth. "
"24 ","Sabawoon ","????? ","Dawn/Morning "
"25 ","Sabeeh ","???? ","Beautiful, handsome, one with a fair complexion. "
"26 ","Sabeer ","???? ","Patient, tolerant. "
"27 ","Sabih ","???? ","Coming or arrival in the morning. "
"28 ","Sabih, Sabeeh ","","Beautiful, pleasant, fond "
"29 ","Sabiq ","???? ","First, winner. "
"30 ","Sabir ","???? ","Patient, tolerant. "
"31 ","Sabir, Sabeer ","","Patient, persevering "
"32 ","Sabit ","???? ","Strong, well-established, certain, sure. "
"33 ","Saboor ","???? ","Patient, tolerant, forbearing. "
"34 ","Sabri ","????? ","Of patience, perseverence. "
"35 ","Sabuh ","???? ","Shining, brilliant. "
"36 ","Sabur ","","Patient, perservent. "
"37 ","Saburah ","","A narrator of Hadith. "
"38 ","Sad ","","Good luck "
"39 ","Sad al Din ","","Good of the Faith "
"40 ","Sadaat ","????? ","Princes, lords, chiefs title of the Prophet Muhammad's director descendents. "
"41 ","Sadad ","","Right thing to do, lucky hand "
"42 ","Sadaqat ","????? ","Truth. "
"43 ","Sadeed ","","Relevant, Pertinent. "
"44 ","Sadeem ","???? ","Haze, Mist. "
"45 ","Sadid ","???? ","Correct, right, sound, appropriate, unerring, hitting the target. "
"46 ","Sadin ","????? ","Desert greenery. "
"47 ","Sadiq ","???? ","True, truthful, honest, sincere, devoted, faithful, veracious. "
"48 ","Sadir ","???? ","Ordered, pasted, appointed. "
"49 ","Sadit ","","Hard working and strong. "
"50 ","Sadooq ","???? ","Honest, truthful, sincere, trustworthy. "
"51 ","Sadr ","??? ","Chest, breast, forefront, start, dawn, bosom, the highest part, prime. "
"52 ","Sadruddin ","???????? ","Person at forefront of the faith (Islam). "
"53 ","Saduh ","???? ","Singer, singing. "
"54 ","Sadul Khalq ","???? ??? ","Blessing for the creation. "
"55 ","Sadun ","","Happy "
"56 ","Saee ","???? ","One who makes effort. "
"57 ","Saeeb ","???? ","Right, appropriate. "
"58 ","Saeed ","???? ","Fortune, auspicious, venerable, dignified, happy, lucky. "
"59 ","Saeed, Said ","","Happy "
"60 ","Saeeduz Zaman ","?????????? ","Luckiest of the age. "
"61 ","Saeel ","???? ","Attacker. "
"62 ","Safa ","???? ","Friendship, purity, love, company. "
"63 ","Safdar ","???? ","Brave, a violent warrior. "
"64 ","Safeenah ","????? ","Ship. "
"65 ","Safeer ","","Emissary. "
"66 ","Saffah ","???? ","Killer, blood shedder. "
"67 ","Saffar ","???? ","Abu Ali Ism ail, an authority for Hadith had this name; died 952. "
"68 ","Safi ","??? ","Pure, just, righteous, pious. "
"69 ","Safir ","???? ","Ambassador, mediator, intercessor. "
"70 ","Safiuddin ","??? ????? ","The pure (one) of the faith (Islam). "
"71 ","Safiullah ","??? ???? ","The pure (one) of Allah. "
"72 ","Safiy ","","Best friend "
"73 ","Safiy al Din ","","Best friend of the faith "
"74 ","Safiy-Allah ","","Allah's chosen one. "
"75 ","Safiyy ","","Chosen One. "
"76 ","Saft ","??? ","Good habit, plus point, speciality. "
"77 ","Safuh ","","Forgiving "
"78 ","Saful Islam ","","Sword of Islam. "
"79 ","Safwah, Safwat ","","The best, the chosen "
"80 ","Safwan ","????? ","Pure, clear, smooth stone, cloudless day. "
"81 ","Sagar ","???? ","Ocean, sea. "
"82 ","Sagheer ","???? ","Small, young, slender, tender. "
"83 ","Saghir Ali ","??????? ","Little Ali. "
"84 ","Sahab ","???? ","Clouds. "
"85 ","Sahar ","??? ","Time before day break; bewtich. "
"86 ","Saheed ","","Lucky, Blissful "
"87 ","Saheim ","","Warrior. "
"88 ","Saher ","???? ","Magician "
"89 ","Sahib ","???? ","Companion, freind. "
"90 ","Sahil ","???? ","River bank, coast. "
"91 ","Sahim ","???? ","Partner. "
"92 ","Sahir ","???? ","Wakeful. "
"93 ","Sahl ","??? ","Soft, soil, smooth, smile. facile, easy, even. "
"94 ","Sahm ","??? ","Arrow, dart. "
"95 ","Sahmir ","","Entertaining companion. "
"96 ","Saib ","???? ","Foresaken, abondaned. "
