Abbad	M
Abbas	M
Abd al-Uzza	M
Abdus Salam	M
Abd Manaf	M
Abd Rabbo	M
Abdel Fattah	M
Abdel Nour	M
Abdi	M
Abdolreza	M
Abdu	M
Abdul	M
Abdul Ahad	M
Abdul Ali	M
Abdul Alim	M
Abdul Azim	M
Abd al-Aziz	M
Abdul Baqi	M
Abdul Bari	M
Abdul Basir	M
Abdul Basit	M
Abdul Ghaffar	M
Abdul Ghani	M
Abdul Hadi	M
Abdul Hafiz	M
Abdul Hai	M
Abdul Hakim	M
Abdul Halim	M
Abdul Hamid	M
Abdul Haq	M
Abdul Hussein	M
Abdul Jabbar	M
Abdul Jalil	M
Abdul Jamil	M
Abdul Karim	M
Abdul Khaliq	M
Abdul Latif	M
Abdul Majid	M
Abdul Malik	M
Abdul Mannan	M
Abdul Monem	M
Abdul Muttalib	M
Abdul Qadir	M
Abdul Qayyum	M
Abdul Quddus	M
Abdul Rashid	M
Abdul Samad	M
Abdul Sattar	M
Abdul Wadud	M
Abdul Wahhab	M
Abdul Wahid	M
Abdul Zahir	M
Abdul Zahra	M
Abdullah	M
Abdur Rab	M
Abdur Rahim	M
Abd al-Rahman	M
Abdur Raqib	M
Abdur Rauf	M
Abdur Razzaq	M
Abdus Sabur	M
Abdus Shakur	M
Abid	M
Abidin	M
Abo	M
Abu	M
Abu Abdullah	M
Abu al-Qasim	M
Abu Bakr	M
Abu Hafs	M
Abu Hamza	M
Abu Nasir	M
Abu Nasr	M
Abu'l-Fadl	M
Adan	M
Adeel	M
Adeem	M
Adem	M
Aden	M
Adham	M
Adib	M
Adil	M
Adir	M
Adli	M
Adnan	M
Afif	M
Ahad	M
Ahmad	M
Ahmed Tijani	M
Ahsan	M
Akeem	M
Akif	M
Akram	M
Alaa	M
Aladdin	M
Ali	M
Ali Naqi	M
Ali Reza	M
Alim	M
Aman	M
Aman Ali	M
Amanullah	M
Amer	M
Amin	M
Amin al-Din	M
Aminullah	M
Amir	M
Amjad	M
Ammar	M
Amr	M
Anas	M
Anis	M
Anisur Rahman	M
Anjem	M
Anwar	M
Anwaruddin	M
Aqeel	M
Ari	M
Arif	M
Asad	M
Asadullah	M
Asem	M
Asghar	M
Ashraf	M
Asif	M
Asil	M
Aslam	M
Ata	M
Ata-ur-Rahman	M
Ataullah	M
Atif	M
Atiq	M
Atiqullah	M
Awad	M
Ayad	M
Ayman	M
Ayub	M
Azem	M
Azhar	M
Azim	M
Azimullah	M
Aziz	M
Azizullah	M
Azizur Rahman	M
Azmi	M
	
Badi	M
Badr al-Din	M
Bagher	M
Baha	M
Baha' al-Din	M
Bahri	M
Baki	M
Bakir	M
Bara	M
Barkat Ali	M
Barkatullah	M
Bashar	M
Bashir	M
Basri	M
Bilal	M
Bilel	M
Billah	M
Boualem	M
Boulos	M
Boutros	M
Brahim	M
Burhan	M
Burhan al-Din	M
	M
Caden	M
Chadli	M
	M
Daniel	M
Dastgir	M
Daud	M
Dawoud	M
Dhikrullah	M
	M
Ehsanullah	M
Ekram	M
	M
Fadel	M
Fahd	M
Faheem	M
Fahmi	M
Fahri	M
Faisal	M
Faiz	M
Faizan	M
Faizullah	M
Fakhr al-Din	M
Fakhraddin	M
Fakhruddin	M
Faqir	M
Faraj	M
Farhat	M
Farid	M
Fariduddin	M
Faris	M
Farooq	M
Fasih	M
Fathallah	M
Fathi	M
Fatin	M
Fawaz	M
Fawzi	M
Fayez	M
Fazel	M
Fazl	M
Fazl ur Rahman	M
Fazlallah	M
Fazli	M
Fazlul Haq	M
Fazlul Karim	M
